respid,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4
87,7776.0,7776.0,4668.0,23340.0,24000.0,48000.0,24000.0,48000.0,67500.0,135000.0,67500.0,135000.0
94,2364.0,9864.0,4740.0,3948.0,24000.0,48000.0,24000.0,48000.0,64000.0,128000.0,64000.0,128000.0
109,3108.0,19452.0,9336.0,11664.0,24000.0,48000.0,24000.0,48000.0,39000.0,78000.0,39000.0,78000.0
127,732.0,2724.0,1812.0,5448.0,24000.0,48000.0,24000.0,48000.0,300000.0,600000.0,300000.0,600000.0
159,912.0,1368.0,1092.0,912.0,24000.0,48000.0,24000.0,48000.0,150000.0,300000.0,150000.0,300000.0
171,1092.0,1812.0,2184.0,4548.0,24000.0,48000.0,24000.0,48000.0,140000.0,280000.0,140000.0,280000.0
222,5196.0,5196.0,6240.0,7800.0,24000.0,48000.0,24000.0,48000.0,57000.0,114000.0,57000.0,114000.0
272,4764.0,19860.0,3180.0,23832.0,24000.0,48000.0,24000.0,48000.0,150000.0,300000.0,150000.0,300000.0
346,3276.0,2724.0,1632.0,6816.0,24000.0,48000.0,24000.0,48000.0,44250.0,88500.0,44250.0,88500.0
351,3228.0,12096.0,9684.0,20160.0,24000.0,48000.0,24000.0,48000.0,225000.0,450000.0,225000.0,450000.0
366,4632.0,9648.0,1548.0,5784.0,24000.0,48000.0,24000.0,48000.0,50000.0,100000.0,50000.0,100000.0
395,69480.0,69480.0,41688.0,208428.0,24000.0,48000.0,24000.0,48000.0,60000.0,120000.0,60000.0,120000.0
406,14376.0,11976.0,7188.0,29940.0,24000.0,48000.0,24000.0,48000.0,93000.0,186000.0,93000.0,186000.0
415,2172.0,13536.0,6504.0,8124.0,24000.0,48000.0,24000.0,48000.0,70000.0,140000.0,70000.0,140000.0
417,288.0,1812.0,864.0,1092.0,24000.0,48000.0,24000.0,48000.0,20250.0,40500.0,20250.0,40500.0
426,3684.0,13812.0,11052.0,23028.0,24000.0,48000.0,24000.0,48000.0,74000.0,148000.0,74000.0,148000.0
441,7596.0,9492.0,6324.0,6324.0,24000.0,48000.0,24000.0,48000.0,52500.0,105000.0,52500.0,105000.0
442,4764.0,23844.0,7944.0,7944.0,24000.0,48000.0,24000.0,48000.0,18750.0,37500.0,18750.0,37500.0
471,1008.0,840.0,840.0,1260.0,24000.0,48000.0,24000.0,48000.0,9750.0,19500.0,9750.0,19500.0
486,11544.0,24048.0,5772.0,9624.0,24000.0,48000.0,24000.0,48000.0,24000.0,48000.0,24000.0,48000.0
496,16272.0,20340.0,13560.0,13560.0,24000.0,48000.0,24000.0,48000.0,105000.0,210000.0,105000.0,210000.0
504,8160.0,17004.0,4080.0,6804.0,24000.0,48000.0,24000.0,48000.0,180000.0,360000.0,180000.0,360000.0
538,1200.0,3600.0,480.0,1800.0,24000.0,48000.0,24000.0,48000.0,71250.0,142500.0,71250.0,142500.0
549,144.0,552.0,372.0,1116.0,24000.0,48000.0,24000.0,48000.0,25000.0,50000.0,25000.0,50000.0
561,10572.0,31716.0,6348.0,10572.0,24000.0,48000.0,24000.0,48000.0,55000.0,110000.0,55000.0,110000.0
577,2868.0,21504.0,4296.0,17928.0,24000.0,48000.0,24000.0,48000.0,130000.0,260000.0,130000.0,260000.0
626,3264.0,4908.0,3924.0,3264.0,24000.0,48000.0,24000.0,48000.0,136000.0,272000.0,136000.0,272000.0
634,372.0,1872.0,252.0,1560.0,24000.0,48000.0,24000.0,48000.0,70600.0,141200.0,70600.0,141200.0
646,72.0,264.0,204.0,432.0,24000.0,48000.0,24000.0,48000.0,120000.0,240000.0,120000.0,240000.0
652,1428.0,1428.0,864.0,4296.0,24000.0,48000.0,24000.0,48000.0,150000.0,300000.0,150000.0,300000.0
674,19104.0,57312.0,7644.0,28656.0,24000.0,48000.0,24000.0,48000.0,90000.0,180000.0,90000.0,180000.0
687,17748.0,36960.0,8868.0,14784.0,24000.0,48000.0,24000.0,48000.0,112000.0,224000.0,112000.0,224000.0
697,3048.0,19068.0,9156.0,11436.0,24000.0,48000.0,24000.0,48000.0,100000.0,200000.0,100000.0,200000.0
712,11808.0,24600.0,3936.0,14760.0,24000.0,48000.0,24000.0,48000.0,50000.0,100000.0,50000.0,100000.0
731,10692.0,32088.0,6420.0,10692.0,24000.0,48000.0,24000.0,48000.0,140000.0,280000.0,140000.0,280000.0
738,1740.0,1740.0,1044.0,5220.0,24000.0,48000.0,24000.0,48000.0,260000.0,520000.0,260000.0,520000.0
751,15456.0,77292.0,10308.0,64416.0,24000.0,48000.0,24000.0,48000.0,45000.0,90000.0,45000.0,90000.0
793,17016.0,25536.0,6804.0,51060.0,24000.0,48000.0,24000.0,48000.0,100000.0,200000.0,100000.0,200000.0
795,3576.0,17892.0,5964.0,5964.0,24000.0,48000.0,24000.0,48000.0,63750.0,127500.0,63750.0,127500.0
817,612.0,612.0,372.0,1848.0,24000.0,48000.0,24000.0,48000.0,30000.0,60000.0,30000.0,60000.0
833,7596.0,7596.0,9120.0,11400.0,24000.0,48000.0,24000.0,48000.0,90000.0,180000.0,90000.0,180000.0
864,1824.0,6816.0,4548.0,13632.0,24000.0,48000.0,24000.0,48000.0,92250.0,184500.0,92250.0,184500.0
881,2232.0,8376.0,6708.0,13968.0,24000.0,48000.0,24000.0,48000.0,80000.0,160000.0,80000.0,160000.0
897,12132.0,60648.0,8088.0,50544.0,24000.0,48000.0,24000.0,48000.0,160000.0,320000.0,160000.0,320000.0
919,5412.0,4512.0,2700.0,11268.0,24000.0,48000.0,24000.0,48000.0,84000.0,168000.0,84000.0,168000.0
940,22680.0,28344.0,7560.0,47232.0,24000.0,48000.0,24000.0,48000.0,300000.0,600000.0,300000.0,600000.0
941,10776.0,32316.0,4308.0,16152.0,24000.0,48000.0,24000.0,48000.0,90000.0,180000.0,90000.0,180000.0
944,10764.0,10764.0,12912.0,16140.0,24000.0,48000.0,24000.0,48000.0,159520.0,319040.0,159520.0,319040.0
950,4176.0,17412.0,2784.0,20904.0,24000.0,48000.0,24000.0,48000.0,130000.0,260000.0,130000.0,260000.0
974,1308.0,9804.0,3264.0,4896.0,24000.0,48000.0,24000.0,48000.0,100000.0,200000.0,100000.0,200000.0
983,5544.0,4620.0,2772.0,11556.0,24000.0,48000.0,24000.0,48000.0,45000.0,90000.0,45000.0,90000.0
985,1464.0,1464.0,1752.0,2196.0,24000.0,48000.0,24000.0,48000.0,70000.0,140000.0,70000.0,140000.0
990,792.0,2952.0,2364.0,4932.0,24000.0,48000.0,24000.0,48000.0,40000.0,80000.0,40000.0,80000.0
999,39744.0,39744.0,23844.0,119232.0,24000.0,48000.0,24000.0,48000.0,45000.0,90000.0,45000.0,90000.0
1006,2472.0,2472.0,1476.0,7404.0,24000.0,48000.0,24000.0,48000.0,150000.0,300000.0,150000.0,300000.0
1011,5592.0,11640.0,2796.0,4656.0,24000.0,48000.0,24000.0,48000.0,57000.0,114000.0,57000.0,114000.0
1014,12096.0,25188.0,4032.0,15108.0,24000.0,48000.0,24000.0,48000.0,320000.0,640000.0,320000.0,640000.0
1019,3576.0,4464.0,2976.0,2976.0,24000.0,48000.0,24000.0,48000.0,28400.0,56800.0,28400.0,56800.0
1031,1092.0,4548.0,2184.0,1824.0,24000.0,48000.0,24000.0,48000.0,52500.0,105000.0,52500.0,105000.0
1033,20880.0,26088.0,6960.0,43488.0,24000.0,48000.0,24000.0,48000.0,90000.0,180000.0,90000.0,180000.0
1035,22188.0,27732.0,7392.0,46212.0,24000.0,48000.0,24000.0,48000.0,51750.0,103500.0,51750.0,103500.0
1041,9420.0,7848.0,4704.0,19620.0,24000.0,48000.0,24000.0,48000.0,52000.0,104000.0,52000.0,104000.0
1047,996.0,3000.0,396.0,1500.0,24000.0,48000.0,24000.0,48000.0,45000.0,90000.0,45000.0,90000.0
1048,1236.0,5160.0,828.0,6192.0,24000.0,48000.0,24000.0,48000.0,80000.0,160000.0,80000.0,160000.0
1066,33300.0,208116.0,99900.0,124872.0,24000.0,48000.0,24000.0,48000.0,66000.0,132000.0,66000.0,132000.0
1068,2520.0,4200.0,5040.0,10500.0,24000.0,48000.0,24000.0,48000.0,48750.0,97500.0,48750.0,97500.0
