respid,xi,xi_sp,miss_psurv85,sp_miss_psurv85
87,-9.0,-9.0,1.0,-9.0
94,-0.3926767219106484,-9.0,0.0,-9.0
109,-3.604038832685962,1.2873059102201425,0.0,0.0
127,-9.0,-9.0,1.0,-9.0
159,-9.0,-9.0,1.0,1.0
171,-4.101452429980104,-9.0,0.0,-9.0
222,0.11148070730008815,-9.0,0.0,-9.0
272,-1.1865848042420344,-1.4366629477997335,0.0,0.0
346,0.4844089123410662,-1.0543476167393797,0.0,0.0
351,-1.031919938134793,-1.0906915277590445,0.0,0.0
366,-9.0,-9.0,1.0,1.0
395,-1.2435137547139747,-0.5972451640939517,0.0,0.0
406,1.3436245702523626,1.4909091625696524,0.0,0.0
415,-2.8376552520346743,-2.453713659578437,0.0,0.0
417,-9.0,-9.0,1.0,-9.0
426,-2.929133375164367,-9.0,0.0,-9.0
441,-1.2165267490685303,-9.0,0.0,-9.0
442,-9.0,-9.0,1.0,-9.0
471,-0.5424195289225517,-9.0,0.0,-9.0
486,-2.657334381512747,-2.169285500694128,0.0,0.0
496,-3.2749697292475335,-1.9349771860320575,0.0,0.0
504,-9.0,-9.0,1.0,1.0
538,-1.0220853070480016,-0.7440286086553679,0.0,0.0
549,-0.2948900512449267,-9.0,0.0,-9.0
561,-2.1156331189738586,-9.0,0.0,-9.0
577,-3.3347098142216987,-2.463089345558977,0.0,0.0
626,-1.5167595092694173,-9.0,0.0,-9.0
634,-0.5484304180128607,-9.0,0.0,-9.0
646,0.6514729252579964,-0.3917120277884757,0.0,0.0
652,-1.0283062640029361,-9.0,0.0,-9.0
674,-2.504213544377157,-9.0,0.0,-9.0
687,-0.8274294821864635,0.36454491464420175,0.0,0.0
697,-9.0,-9.0,1.0,1.0
712,-2.6669797874083097,-2.6855594157100895,0.0,0.0
731,-0.2711055581368613,-0.0449681038666423,0.0,0.0
738,-1.656413465153734,-9.0,0.0,-9.0
751,0.8686151266827782,-9.0,0.0,-9.0
793,-3.3771290617295966,-2.5200174296111557,0.0,0.0
795,-3.064148539098314,-2.130758680183463,0.0,0.0
817,-2.6042401100710233,-0.45264006406639984,0.0,0.0
833,-1.7046417966025964,-1.1118848355798603,0.0,0.0
864,-0.41089336398186804,0.00437425335863436,0.0,0.0
881,0.5061444216602163,-0.2614801677119086,0.0,0.0
897,-1.6510539509892284,-1.9568428708823256,0.0,0.0
919,-0.5187847443755488,-9.0,0.0,-9.0
940,-1.1227903275017803,-0.8354847545287734,0.0,0.0
941,-2.4670799322050954,-1.9969367535989528,0.0,0.0
944,-1.7347009868259335,-9.0,0.0,-9.0
950,0.06854920129500718,0.023919369536596777,0.0,0.0
974,-1.2985902464720922,0.07445719618893322,0.0,0.0
983,-0.49988038674909263,-1.6096907058716003,0.0,0.0
985,-1.3882135357189718,-2.411049644524086,0.0,0.0
990,-9.0,-9.0,1.0,1.0
999,-3.0618475021205667,-9.0,0.0,-9.0
1006,-9.0,-9.0,1.0,-9.0
1011,-1.0578695877791842,-0.5174146968878055,0.0,0.0
1014,-2.4082285329686877,-3.426755395864811,0.0,0.0
1019,1.4568350559090564,0.030067329252701343,0.0,0.0
1031,-1.4240183417214844,-0.39077731897024537,0.0,0.0
1033,-2.6186611807269755,-2.270221220153594,0.0,0.0
1035,-1.6903443028110419,-2.8443146145033307,0.0,0.0
1041,-1.1769691092932255,-1.2805773182408966,0.0,0.0
1047,-9.0,-9.0,1.0,-9.0
1048,-9.0,-9.0,1.0,1.0
1066,0.4392843702406107,-0.6440753987434669,0.0,0.0
1068,-0.9337565600213953,0.6517278127016363,0.0,0.0
1078,-9.0,-9.0,1.0,1.0
1105,-1.3656919063832067,-1.6616096932586455,0.0,0.0
1111,-9.0,-9.0,1.0,1.0
1112,-1.7738692052588012,-1.501988244585539,0.0,0.0
1114,-0.43042950818405895,-0.37143458070307833,0.0,0.0
1119,-0.5062361222630996,-0.25125681785787024,0.0,0.0
1145,-0.20451768282676114,0.23481058449176118,0.0,0.0
1149,0.30162483914258875,0.8518344115044664,0.0,0.0
1169,-3.5240063904149936,-3.2600596995371087,0.0,0.0
1179,1.7322604471158531,0.49335576767581485,0.0,0.0
1188,0.26206487393296257,0.7211885027539997,0.0,0.0
1200,0.5503226597701121,0.46539106833909755,0.0,0.0
1209,-0.986623960998274,-0.7600261977838145,0.0,0.0
1211,-2.4891768679559094,-9.0,0.0,-9.0
1212,-3.1801735957364405,-9.0,0.0,-9.0
