respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,share_rrsp
87,1278.4983244321725,6,0,1,553863.0,0.0,450000.0,0.8658567190803502
94,897.8346892314378,6,0,1,210000.0,0.0,320000.0,0.7142857142857143
109,880.8996211331786,8,1,1,500000.0,230000.0,425000.0,0.8
127,1278.4983244321725,7,0,1,0.0,0.0,1500000.0,0.0
159,4230.715283026676,1,1,1,65000.0,0.0,1000000.0,0.0
171,4942.474513256949,7,0,1,57700.0,0.0,700000.0,0.0
222,2740.425636006952,10,0,1,275000.0,0.0,285000.0,0.8181818181818182
272,1278.4983244321725,6,1,1,515333.07300498855,0.0,750000.0,0.8936639658279718
346,580.936724934376,8,1,1,180000.0,65000.0,360000.0,0.8333333333333334
351,4230.715283026676,1,1,1,460000.0,0.0,1500000.0,0.9239130434782609
366,688.7628253365825,5,1,1,208663.00371359344,0.0,250000.0,0.7124550163077554
395,688.7628253365825,5,1,1,570000.0,0.0,300000.0,0.8771929824561403
406,688.7628253365825,5,1,1,310000.0,0.0,465000.0,0.5806451612903226
415,6357.119592832336,4,1,1,280000.0,0.0,350000.0,0.7142857142857143
417,4230.715283026676,6,0,1,9000.0,190000.0,325000.0,1.0
426,8497.513381368772,1,0,1,575000.0,0.0,370000.0,0.8695652173913043
441,897.8346892314378,6,0,1,6000.0,0.0,350000.0,0.0
442,1321.982893522959,2,0,1,580000.0,0.0,125000.0,0.8620689655172413
471,1321.982893522959,2,0,1,61000.0,135000.0,200000.0,0.9016393442622951
486,11913.367002499095,11,1,1,525000.0,0.0,160000.0,0.9523809523809523
496,897.8346892314378,1,1,1,560000.0,0.0,700000.0,0.8928571428571429
504,1666.0411339049424,3,1,1,460000.0,0.0,1200000.0,0.13043478260869565
538,3306.360982332038,2,1,1,50000.0,0.0,475000.0,0.6
549,3306.360982332038,2,0,1,22600.0,20000.0,145000.0,0.9734513274336283
561,1321.982893522959,2,0,1,560000.0,0.0,275000.0,0.8928571428571429
577,3922.9483782185284,6,1,1,275000.0,0.0,650000.0,0.7272727272727273
626,8497.513381368772,1,0,1,91000.0,220000.0,900000.0,0.7692307692307693
634,1278.4983244321725,1,0,1,0.0,247000.0,600000.0,0.0
646,4942.474513256949,7,1,1,10000.0,0.0,600000.0,1.0
652,4942.474513256949,1,0,1,85000.0,0.0,750000.0,1.0
674,967.2736886617231,9,0,1,627000.0,0.0,450000.0,0.7974481658692185
687,4942.474513256949,1,1,1,350000.0,0.0,560000.0,0.8571428571428571
697,4942.474513256949,6,1,1,370000.0,0.0,500000.0,0.6756756756756757
712,2740.425636006952,10,1,1,422238.0364753698,0.0,250000.0,0.810664222707475
731,897.8346892314378,1,1,1,475000.0,0.0,700000.0,0.8421052631578947
738,1278.4983244321725,1,0,1,75000.0,0.0,1300000.0,0.6666666666666666
751,967.2736886617231,9,0,1,585000.0,0.0,225000.0,0.8547008547008547
793,6226.779569658952,2,1,1,565000.0,0.0,500000.0,0.8849557522123894
795,967.2736886617231,2,1,1,325000.0,0.0,425000.0,0.9230769230769231
817,4230.715283026676,6,1,1,78808.51834696205,250000.0,450000.0,1.0
833,4942.474513256949,7,1,1,250000.0,0.0,600000.0,0.6
864,3922.9483782185284,6,1,1,300000.0,0.0,615000.0,0.75
881,3653.671297737253,8,1,1,330000.0,0.0,400000.0,0.7575757575757576
897,4230.715283026676,1,1,1,675000.0,0.0,800000.0,0.7407407407407407
919,1321.982893522959,2,0,1,262000.0,0.0,420000.0,0.683206106870229
940,949.5838434120577,3,1,1,512000.0,0.0,2000000.0,0.9765625
941,967.2736886617231,2,1,1,600000.0,0.0,450000.0,0.8333333333333334
944,4942.474513256949,1,0,1,558000.0,2400.0,800000.0,0.8960573476702509
950,688.7628253365825,5,1,1,425000.0,0.0,650000.0,0.7058823529411765
974,8497.513381368772,1,1,1,170000.0,0.0,500000.0,0.5882352941176471
983,8497.513381368772,6,1,1,280000.0,0.0,225000.0,0.5
985,4851.619932747694,2,1,1,45000.0,0.0,350000.0,0.3333333333333333
990,6226.779569658952,9,1,1,6000.0,0.0,200000.0,0.0
999,2740.425636006952,10,0,1,310000.0,0.0,225000.0,0.8064516129032258
1006,1666.0411339049424,3,0,1,255329.49325125926,0.0,1000000.0,1.0
1011,3027.395677984212,4,1,1,190000.0,0.0,380000.0,0.47368421052631576
1014,1666.0411339049424,3,1,1,529000.0,0.0,1600000.0,0.945179584120983
1019,3084.2107633132296,4,1,1,160000.0,343000.0,485000.0,0.8125
1031,6226.779569658952,2,1,1,417988.62607070885,50000.0,400000.0,1.0
1033,2726.959170965149,10,1,1,400000.0,0.0,450000.0,0.75
1035,3084.2107633132296,5,1,1,620000.0,0.0,345000.0,0.8064516129032258
1041,1321.982893522959,2,1,1,290000.0,0.0,260000.0,0.6896551724137931
1047,880.8996211331786,8,0,1,45000.0,0.0,300000.0,0.4444444444444444
1048,1278.4983244321725,1,1,1,641031.2517722116,0.0,1335532.2979256213,0.726059818285748
1066,6226.779569658952,2,1,1,575000.0,0.0,330000.0,0.8695652173913043
1068,897.8346892314378,6,1,1,285000.0,175000.0,500000.0,0.9649122807017544
1078,897.8346892314378,1,1,1,19000.0,0.0,1200000.0,0.7368421052631579
1105,949.5838434120577,11,1,1,575000.0,0.0,650000.0,0.8695652173913043
1111,967.2736886617231,2,1,1,500000.0,0.0,1000000.0,1.0
1112,938.1637312456232,10,1,1,265000.0,0.0,300000.0,0.9433962264150944
1114,880.8996211331786,8,1,1,515000.0,0.0,375000.0,0.970873786407767
1119,967.2736886617231,2,1,1,340000.0,0.0,960000.0,0.5882352941176471
1145,3306.360982332038,2,1,1,515000.0,0.0,500000.0,0.970873786407767
1149,3027.395677984212,5,1,1,55100.0,0.0,380000.0,0.9981851179673321
1169,3223.604382708034,11,1,1,400000.0,0.0,600000.0,0.75
1179,688.7628253365825,5,1,1,60000.0,0.0,450000.0,0.8333333333333334
1188,999.5341708562004,4,1,1,100000.0,0.0,800000.0,1.0
1200,999.5341708562004,4,1,1,80000.0,0.0,600000.0,0.9375
1209,1278.4983244321725,1,1,1,0.0,0.0,1800000.0,0.0
