respid,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)"
87,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
94,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
109,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.5849292991649557,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237
127,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
159,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521
171,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
222,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
272,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108
346,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812
351,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184
366,0.0951648218526938,-3.571728118418626,-0.9437326240583648,-1.1986789601540373,0.1221631468623207,-4.751123393745049,-2.1132204029253727,-0.5420411839783128,0.2462934490192811,-7.654812991856959,-5.194878627240967,-3.873579083383573
395,0.0837251523928383,-3.71295480246046,-0.961025043698407,-1.2387556130939603,0.110463271917252,-5.142838265798568,-2.48917997285154,-0.7840648143920341,0.2182597323763243,-7.471958942132208,-5.061002660116287,-3.827735620970188
406,0.0837457568965736,-3.0956402262753566,-0.5650141492294402,-0.5262928622195766,0.1279645813806006,-4.593716927857182,-2.1974561353906994,-0.342528395283395,0.2584572471713076,-7.267445244939328,-5.023797812569378,-3.482305736068166
415,0.0953129536612545,-4.321271349620147,-1.643256907491783,-1.9646171233312968,0.1141589338148101,-4.682374039899524,-2.0014508868300287,-0.5580323117772493,0.2407970708399631,-7.603738366727295,-5.240487634968973,-3.9599253061304367
417,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
426,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
441,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
442,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
471,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
486,0.0689262122193548,-3.403547504797513,-0.7735773554113919,-0.9254232561970616,0.0974643805984109,-4.197056798760869,-1.6550188149642555,-0.043495311369057,0.12842263689943,-4.425991127579948,-2.449811575542693,-1.0601624956311633
496,0.0730289559658526,-3.576648695364061,-0.8763512025265653,-0.989704213703442,0.1002130867299519,-5.17455522506139,-2.454505507623602,-0.5444827221984769,0.1879735370096449,-7.012091002393133,-4.760140531603256,-3.3395422534009898
504,0.0835116017594228,-3.847643411811121,-1.4125264091898686,-1.4903273547448734,0.1059003530089717,-4.7250524190036405,-2.2877549736670333,-0.5262797688187927,0.1700516923130293,-5.71418482241464,-3.625926071178946,-2.3215479930295166
538,0.091668190233681,-3.4530288908964257,-0.7536820265913677,-1.0979249104136015,0.113591135031015,-4.553423098043029,-1.9670212641795437,-0.4073647993000833,0.2349973824296786,-7.377615457891373,-4.957431480049418,-3.763460550045495
549,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
561,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
577,0.07480009745382,-3.1919354488301,-0.4297965212251667,-0.650827158529674,0.1052993540521203,-4.78417000957236,-2.1752819178816587,-0.4335727544163544,0.1977887740070127,-6.688771069655908,-4.349381014077846,-3.012526340879363
626,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
634,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
646,0.0838561939607967,-3.4095685354941168,-0.724659602537275,-0.9125877017948816,0.1097389168750885,-4.5501167230542805,-1.97682020336389,-0.2123441241013978,0.2045049372349241,-6.9109235617034726,-4.5596206170111575,-3.1350163388925365
652,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
674,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
687,0.0886673164621114,-3.463204147519748,-0.8554944581537496,-0.9112987991148008,0.1162081837836259,-4.715467598373782,-2.088856476265864,-0.3377151348775067,0.2102942309406114,-6.990615121350982,-4.68540127917071,-3.238049601069638
697,0.0731111419994576,-3.1532153410673733,-0.4260277434933409,-0.6539406252466119,0.1046699663426194,-4.844098529031711,-2.2042510615419197,-0.448420432104302,0.1919164463412612,-6.520490472125181,-4.175913109579498,-2.8953772366955906
712,0.0861924212792108,-4.359912287901832,-1.669591552554591,-1.9992812790350192,0.108450321441113,-5.378427861616614,-2.7226181003740964,-1.2703263719273243,0.2199705214800995,-6.7188321017274495,-4.623704943341417,-3.697403702478682
731,0.0786385054796969,-3.44259036071831,-0.7250681652911909,-0.87495032356795,0.102295699670754,-4.877190857643746,-2.18539251780641,-0.3889088768882447,0.2182601162935533,-7.707805314788569,-5.320546216198583,-3.936598608345655
738,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
751,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
793,0.074105360143432,-3.3402765483437844,-0.5973032050104715,-0.9129488242675258,0.1057923571982476,-5.044319848239413,-2.4561691868318967,-0.701129908161452,0.1945734600404956,-6.535975850537922,-4.281847998226745,-3.056321198680231
795,0.0761228987087346,-3.5243884400388668,-0.8107372413653814,-1.0180230390144192,0.1009724321499668,-4.982250767314617,-2.455246438815869,-0.7338385446804024,0.2008066433224593,-7.067750568588796,-4.854278200820234,-3.556920826032382
817,0.0818916461247156,-3.771999083874232,-1.1019624472084266,-1.2674918028490112,0.1098918976703597,-4.472288265706737,-1.9780887184305855,-0.2981737323223991,0.1598870272415803,-5.253325039944031,-3.1039659664614576,-1.8045347376436485
833,0.0836294055142095,-2.968742947899764,-0.3012348952451698,-0.5870979327968796,0.1188245733408783,-4.259300954399503,-1.6300723983465302,0.0333766786705481,0.1790475943314761,-5.336708181629729,-3.033099020959216,-1.6913468637296558
864,0.0722130027619674,-3.562420638798864,-0.8700185745637252,-0.9294922925707504,0.0956845435725138,-5.0219153920481805,-2.359806052091954,-0.464918141932961,0.1773383056400432,-6.736932740809013,-4.516552041064151,-3.0612283175191752
881,0.091507281285846,-3.9990997307223566,-1.3727758672874977,-1.620277901516898,0.1121436125548238,-4.548461889518013,-1.8781812827009667,-0.4130821666330846,0.1739249983156168,-5.635898041750713,-3.508572776320246,-2.196174626071114
897,0.085769135101078,-3.897823278421997,-1.293707252544107,-1.374551243897887,0.111672605683828,-4.634812180269201,-2.055855520392972,-0.3996391947952505,0.1857401806099555,-6.201990848873126,-4.071844332996076,-2.6185585933149307
919,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
940,0.0756159944736295,-3.3983335515859743,-0.7011135914323082,-0.7338704588157483,0.1070977656954514,-5.135578938934148,-2.5288456258088927,-0.7251644189382223,0.2118854977010373,-7.080471805219405,-4.753994465994093,-3.4528793578468235
941,0.0759814911575567,-3.57544953254301,-0.8421794885410214,-1.0965708324072727,0.1048780601963473,-5.1492783440136565,-2.5750786451440577,-0.9029168985246367,0.211383548092188,-7.391620270725943,-5.128758407721462,-3.943732668731137
944,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
950,0.0761184256261695,-3.351689848676408,-0.6414341185002816,-0.8873526281371422,0.1101384195072632,-5.003579006995277,-2.448423564228924,-0.6596638603295901,0.1821474100660285,-6.092401650439674,-3.839323696456844,-2.528799552549785
974,0.0585408793049378,-3.250880539484034,-0.6164949111393468,-0.6510082355980428,0.0968760044368507,-4.446881127560734,-1.8812370015991948,-0.1130437835208839,0.1958395452982603,-6.565397439991386,-4.3898677247275,-3.045215696632014
983,0.0629001425022333,-3.38242002174842,-0.7411005913260186,-1.0065557729344865,0.06651182408137,-3.5023452994862256,-0.7806181829803752,0.8861465650627216,0.2610919561541431,-8.048646681964534,-5.916635369244027,-4.465508969735401
985,0.0592894360601743,-3.4095470653576148,-0.8523103597168057,-1.1045223605888717,0.0992525892915493,-4.509990414382053,-2.1393240131382507,-0.7244150532055955,0.2290780012493,-6.529508685600726,-4.508875281750871,-3.3775220367765373
990,0.0863115868044794,-3.1807794715029054,-0.5508958708160302,-0.723874391016039,0.1148827163443177,-4.4923264735009205,-1.9558649724759196,-0.3227684628435142,0.2149383326692125,-6.45161160629622,-4.178533855294118,-2.81788601354752
999,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1006,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1011,0.0768961929037249,-4.259163090657908,-1.48176050116498,-1.893380368008692,0.0957898167426405,-4.953157364371134,-2.2144367347759912,-0.7202089515197582,0.1657660065518171,-6.070608704964295,-3.971400165964284,-2.709871354226236
