respid,know_ann,know_ltci,know_rmr
87,1,0,0
94,0,0,0
109,0,1,1
127,0,1,1
159,0,0,0
171,0,0,0
222,0,0,0
272,0,0,0
346,0,0,0
351,0,0,1
366,0,0,0
395,0,0,0
406,1,1,1
415,0,0,0
417,0,0,0
426,1,0,0
441,0,0,0
442,0,0,0
471,0,0,0
486,1,1,1
496,0,0,0
504,0,0,1
538,0,0,0
549,0,0,1
561,0,0,0
577,0,0,1
626,0,0,0
634,0,0,0
646,0,0,0
652,0,0,1
674,0,0,0
687,0,1,1
697,0,0,0
712,0,0,0
731,1,0,0
738,0,0,1
751,1,0,0
793,1,0,0
795,0,0,0
817,0,0,0
833,0,0,0
864,0,0,0
881,0,0,0
897,0,1,1
919,1,1,1
940,0,0,0
941,1,0,0
944,0,0,0
950,0,0,0
974,0,0,0
983,0,0,0
985,0,0,0
990,1,0,0
999,0,0,0
1006,0,0,0
1011,0,0,0
1014,1,0,1
1019,1,0,1
1031,0,0,0
1033,0,0,0
1035,0,0,1
1041,0,0,1
1047,0,0,0
1048,0,0,0
1066,0,0,0
1068,0,0,0
1078,0,0,0
1105,0,0,0
1111,0,0,0
1112,0,0,0
1114,0,0,0
1119,1,0,0
1145,1,1,1
1149,0,0,0
1169,0,0,1
1179,0,0,0
1188,1,1,1
1200,0,0,0
1209,0,0,0
1211,1,1,1
1212,0,0,1
1227,0,0,0
1238,0,0,1
1248,0,0,0
1257,1,0,0
1265,1,1,1
1268,1,0,1
1281,0,0,0
1290,0,0,0
1303,0,0,0
1316,0,0,0
1320,0,0,0
1323,1,0,0
1324,0,0,1
1332,0,0,0
1355,0,0,0
1364,0,0,0
1370,0,0,0
1374,1,1,0
1389,0,0,0
1404,1,1,1
1412,0,0,0
1421,0,0,0
1423,0,0,0
1439,0,1,1
1449,0,0,0
1472,0,0,0
1477,0,0,0
1506,0,1,1
1540,0,0,0
1591,1,0,1
1592,0,0,0
1660,0,0,0
1685,0,0,1
1719,0,0,0
1761,0,0,0
1771,0,0,0
1788,0,0,0
1799,0,0,0
1805,0,0,0
1842,0,0,0
1852,0,0,0
1869,0,0,0
1884,0,0,0
1892,0,0,0
1914,0,0,0
1929,0,0,0
1931,0,0,0
1955,0,0,0
1967,0,0,0
1978,0,1,1
2039,0,0,0
2048,0,0,0
2049,0,0,0
2061,0,0,0
2086,0,0,1
2089,1,0,0
2136,0,0,0
2137,0,0,0
2142,0,0,0
2231,1,0,1
2306,1,0,1
2334,0,0,0
2362,0,0,0
2365,0,0,0
2367,0,0,0
2371,0,0,0
2392,0,0,0
2398,0,0,0
2436,0,0,0
2442,0,0,1
2447,0,0,0
2454,0,0,0
2457,0,0,0
2465,0,0,0
2479,0,0,0
2487,0,0,0
2500,1,1,1
2502,0,0,0
2528,0,0,0
2549,1,1,1
2596,0,0,0
2598,0,0,0
2611,0,1,1
2623,0,0,0
2636,0,0,0
2659,0,0,0
2676,0,0,0
2685,0,0,1
2686,1,1,1
2709,0,0,0
2726,0,0,0
2728,1,0,0
2745,0,0,0
2758,0,0,0
2768,1,1,1
2783,0,0,0
2804,1,1,1
2829,0,0,0
