respid,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome
87,1,0.0,1.0,1,1.0,0.3,0.75,0.5
94,0,0.0,5.0,1,1.0,0.3,0.5,0.5
109,1,0.0,2.0,1,1.0,0.0,0.8,0.6
127,1,0.0,0.0,0,1.0,,0.1,0.0
159,1,1.0,2.0,1,0.0,0.0,0.75,
171,0,0.0,2.0,1,0.0,0.0,1.0,0.5
222,1,0.0,4.0,1,1.0,0.2,0.9,0.95
272,1,0.0,0.0,0,1.0,0.0,1.0,0.65
346,0,0.0,1.0,1,1.0,0.0,1.0,0.4
351,1,1.0,2.0,1,0.0,0.6,0.0,0.75
366,0,0.0,3.0,1,1.0,,0.5,
395,0,0.0,2.0,1,1.0,0.1,0.85,0.9
406,0,0.0,2.0,1,1.0,0.5,0.75,0.0
415,1,0.0,1.0,1,0.0,0.01,1.0,
417,1,1.0,1.0,1,0.0,1.0,0.8,
426,1,0.0,0.0,0,0.0,1.0,0.99,0.97
441,0,0.0,0.0,0,1.0,0.8,0.25,0.05
442,1,0.0,0.0,0,1.0,1.0,,
471,1,0.0,1.0,1,1.0,1.0,1.0,
486,1,0.0,2.0,1,0.0,0.9,0.5,1.0
496,0,0.0,0.0,0,1.0,0.75,1.0,0.1
504,1,0.0,4.0,1,1.0,0.1,1.0,0.1
538,0,1.0,3.0,1,0.0,0.5,0.5,0.5
549,0,1.0,0.0,0,0.0,1.0,0.5,
561,1,0.0,0.0,0,1.0,0.0,1.0,
577,0,1.0,3.0,1,0.0,0.75,1.0,0.15
626,1,0.0,1.0,1,0.0,0.5,1.0,0.5
634,1,0.0,2.0,1,1.0,1.0,0.0,0.0
646,0,0.0,2.0,1,0.0,,1.0,0.8
652,0,0.0,0.0,0,0.0,0.5,1.0,0.5
674,0,0.0,1.0,1,1.0,0.5,1.0,0.0
687,0,0.0,3.0,1,0.0,0.8,1.0,0.0
697,0,0.0,2.0,1,0.0,,1.0,
712,1,0.0,0.0,0,1.0,,,
731,0,0.0,0.0,0,1.0,0.1,0.8,0.75
738,1,0.0,0.0,0,1.0,0.25,0.5,0.95
751,0,0.0,2.0,1,1.0,0.1,1.0,0.1
793,0,0.0,3.0,1,0.0,0.75,0.5,0.25
795,0,0.0,2.0,1,1.0,1.0,1.0,0.0
817,1,1.0,0.0,0,0.0,1.0,1.0,0.75
833,0,0.0,0.0,0,0.0,0.6,0.8,0.1
864,0,1.0,0.0,0,0.0,0.1,,0.2
881,1,1.0,2.0,1,0.0,0.0,1.0,0.5
897,1,1.0,1.0,1,0.0,0.0,1.0,0.2
919,1,0.0,2.0,1,1.0,0.05,1.0,0.2
940,0,0.0,2.0,1,1.0,0.1,1.0,0.5
