respid,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4
87,110773.0,276932.0,110773.0,276932.0,852.0,4248.0,1272.0,5100.0,0.02,0.04,0.08,0.06
94,42000.0,105000.0,42000.0,105000.0,1464.0,5856.0,2436.0,1956.0,0.02,0.04,0.08,0.06
109,100000.0,250000.0,100000.0,250000.0,3336.0,5568.0,1116.0,3336.0,0.02,0.04,0.06,0.08
127,24000.0,60000.0,24000.0,60000.0,2784.0,2220.0,1668.0,6672.0,0.08,0.02,0.06,0.04
159,13000.0,32500.0,13000.0,32500.0,1272.0,4248.0,2556.0,1704.0,0.06,0.04,0.02,0.08
171,19540.0,48850.0,19540.0,48850.0,1464.0,5856.0,972.0,4884.0,0.04,0.02,0.08,0.06
222,63000.0,157500.0,63000.0,157500.0,3336.0,5568.0,1116.0,3336.0,0.04,0.02,0.08,0.06
272,105000.0,262500.0,105000.0,262500.0,1116.0,6672.0,2784.0,3336.0,0.04,0.08,0.02,0.06
346,36000.0,90000.0,36000.0,90000.0,2208.0,3684.0,1104.0,1476.0,0.08,0.04,0.06,0.02
351,112000.0,280000.0,112000.0,280000.0,2124.0,1704.0,1272.0,5100.0,0.04,0.06,0.02,0.08
366,43000.0,107500.0,43000.0,107500.0,2928.0,1956.0,2436.0,2928.0,0.04,0.02,0.08,0.06
395,774000.0,1935000.0,774000.0,1935000.0,1464.0,4884.0,972.0,5856.0,0.06,0.08,0.04,0.02
406,142000.0,355000.0,142000.0,355000.0,1464.0,4884.0,972.0,5856.0,0.04,0.02,0.08,0.06
415,64000.0,160000.0,64000.0,160000.0,1668.0,2220.0,2784.0,6672.0,0.04,0.08,0.06,0.02
417,9800.0,24500.0,9800.0,24500.0,2556.0,2556.0,852.0,4248.0,0.02,0.04,0.08,0.06
426,115000.0,287500.0,115000.0,287500.0,3336.0,3336.0,1116.0,5568.0,0.04,0.02,0.06,0.08
441,81200.0,203000.0,81200.0,203000.0,1836.0,4416.0,1104.0,1476.0,0.06,0.04,0.08,0.02
442,116000.0,290000.0,116000.0,290000.0,2556.0,2556.0,2124.0,1704.0,0.02,0.06,0.08,0.04
471,12200.0,30500.0,12200.0,30500.0,852.0,4248.0,2556.0,2556.0,0.02,0.08,0.04,0.06
486,137000.0,342500.0,137000.0,342500.0,2124.0,2556.0,852.0,5100.0,0.04,0.06,0.02,0.08
496,174000.0,435000.0,174000.0,435000.0,2208.0,2208.0,732.0,3684.0,0.06,0.04,0.02,0.08
504,92000.0,230000.0,92000.0,230000.0,2124.0,5100.0,852.0,2556.0,0.08,0.02,0.04,0.06
538,15000.0,37500.0,15000.0,37500.0,1104.0,3684.0,732.0,4416.0,0.02,0.04,0.06,0.08
549,4520.0,11300.0,4520.0,11300.0,2436.0,5856.0,1464.0,1956.0,0.02,0.08,0.04,0.06
561,132000.0,330000.0,132000.0,330000.0,2784.0,2220.0,3336.0,3336.0,0.06,0.04,0.02,0.08
577,85000.0,212500.0,85000.0,212500.0,2436.0,2928.0,972.0,5856.0,0.08,0.02,0.06,0.04
626,43200.0,108000.0,43200.0,108000.0,2784.0,6672.0,1116.0,3336.0,0.04,0.02,0.06,0.08
634,8000.0,20000.0,8000.0,20000.0,1116.0,6672.0,1668.0,5568.0,0.02,0.04,0.08,0.06
646,2000.0,5000.0,2000.0,5000.0,1464.0,4884.0,972.0,5856.0,0.08,0.06,0.04,0.02
652,17000.0,42500.0,17000.0,42500.0,972.0,4884.0,2928.0,2928.0,0.02,0.04,0.08,0.06
674,205400.0,513500.0,205400.0,513500.0,2436.0,2928.0,972.0,5856.0,0.08,0.04,0.06,0.02
687,170000.0,425000.0,170000.0,425000.0,972.0,2928.0,2436.0,5856.0,0.08,0.02,0.04,0.06
697,82000.0,205000.0,82000.0,205000.0,972.0,4884.0,1464.0,5856.0,0.08,0.04,0.06,0.02
712,130000.0,325000.0,130000.0,325000.0,2784.0,6672.0,1116.0,3336.0,0.02,0.08,0.06,0.04
731,115000.0,287500.0,115000.0,287500.0,2928.0,2928.0,972.0,4884.0,0.04,0.08,0.02,0.06
738,23000.0,57500.0,23000.0,57500.0,2784.0,6672.0,1116.0,3336.0,0.08,0.06,0.02,0.04
751,277000.0,692500.0,277000.0,692500.0,972.0,4884.0,2928.0,2928.0,0.04,0.06,0.08,0.02
793,183000.0,457500.0,183000.0,457500.0,2436.0,5856.0,1464.0,1956.0,0.04,0.02,0.08,0.06
795,83000.0,207500.0,83000.0,207500.0,732.0,3684.0,1104.0,4416.0,0.08,0.02,0.04,0.06
817,9000.0,22500.0,9000.0,22500.0,852.0,5100.0,2124.0,2556.0,0.02,0.08,0.06,0.04
833,95000.0,237500.0,95000.0,237500.0,1104.0,4416.0,732.0,3684.0,0.04,0.02,0.06,0.08
864,60000.0,150000.0,60000.0,150000.0,1104.0,1476.0,2208.0,3684.0,0.02,0.08,0.06,0.04
881,66000.0,165000.0,66000.0,165000.0,2784.0,2220.0,1668.0,6672.0,0.04,0.08,0.06,0.02
897,235000.0,587500.0,235000.0,587500.0,1116.0,6672.0,2784.0,3336.0,0.04,0.06,0.08,0.02
919,52400.0,131000.0,52400.0,131000.0,2784.0,3336.0,3336.0,2220.0,0.06,0.02,0.08,0.04
940,242400.0,606000.0,242400.0,606000.0,2208.0,2208.0,732.0,3684.0,0.06,0.04,0.02,0.08
941,120000.0,300000.0,120000.0,300000.0,2436.0,1956.0,2928.0,2928.0,0.04,0.06,0.02,0.08
944,127600.0,319000.0,127600.0,319000.0,1464.0,5856.0,2436.0,1956.0,0.06,0.04,0.08,0.02
950,85000.0,212500.0,85000.0,212500.0,2928.0,1956.0,2436.0,2928.0,0.02,0.06,0.04,0.08
974,42000.0,105000.0,42000.0,105000.0,3336.0,3336.0,1116.0,5568.0,0.02,0.04,0.06,0.08
983,56000.0,140000.0,56000.0,140000.0,1116.0,6672.0,2784.0,3336.0,0.08,0.02,0.06,0.04
985,17000.0,42500.0,17000.0,42500.0,2784.0,2220.0,1668.0,6672.0,0.04,0.08,0.02,0.06
990,21200.0,53000.0,21200.0,53000.0,2928.0,1956.0,2436.0,2928.0,0.06,0.04,0.02,0.08
999,462000.0,1155000.0,462000.0,1155000.0,1116.0,5568.0,3336.0,3336.0,0.04,0.02,0.08,0.06
1006,36000.0,90000.0,36000.0,90000.0,1272.0,1704.0,2556.0,4248.0,0.02,0.08,0.06,0.04
1011,63000.0,157500.0,63000.0,157500.0,1272.0,1704.0,2556.0,4248.0,0.06,0.04,0.08,0.02
1014,125800.0,314500.0,125800.0,314500.0,1116.0,6672.0,1668.0,5568.0,0.08,0.06,0.04,0.02
1019,32000.0,80000.0,32000.0,80000.0,972.0,2928.0,2928.0,4884.0,0.04,0.06,0.02,0.08
1031,24000.0,60000.0,24000.0,60000.0,1104.0,3684.0,2208.0,1476.0,0.04,0.02,0.08,0.06
1033,200000.0,500000.0,200000.0,500000.0,1464.0,1956.0,2928.0,4884.0,0.08,0.02,0.04,0.06
1035,244000.0,610000.0,244000.0,610000.0,1836.0,1476.0,2208.0,2208.0,0.04,0.02,0.06,0.08
1041,98000.0,245000.0,98000.0,245000.0,1668.0,2220.0,3336.0,5568.0,0.04,0.08,0.02,0.06
1047,15000.0,37500.0,15000.0,37500.0,852.0,5100.0,1272.0,4248.0,0.04,0.02,0.08,0.06
1048,24000.0,60000.0,24000.0,60000.0,1116.0,3336.0,2784.0,6672.0,0.04,0.06,0.08,0.02
1066,895000.0,2237500.0,895000.0,2237500.0,1464.0,1956.0,2928.0,4884.0,0.04,0.02,0.06,0.08
1068,57000.0,142500.0,57000.0,142500.0,1836.0,1476.0,1104.0,4416.0,0.08,0.04,0.02,0.06
1078,4800.0,12000.0,4800.0,12000.0,2928.0,4884.0,1464.0,1956.0,0.06,0.02,0.04,0.08
1105,215000.0,537500.0,215000.0,537500.0,1836.0,2208.0,732.0,4416.0,0.08,0.02,0.06,0.04
1111,185000.0,462500.0,185000.0,462500.0,1836.0,1476.0,2208.0,2208.0,0.04,0.02,0.08,0.06
1112,59000.0,147500.0,59000.0,147500.0,1836.0,1476.0,2208.0,2208.0,0.08,0.04,0.06,0.02
1114,103000.0,257500.0,103000.0,257500.0,2784.0,3336.0,1116.0,6672.0,0.04,0.06,0.08,0.02
1119,108000.0,270000.0,108000.0,270000.0,2928.0,2928.0,2436.0,1956.0,0.02,0.04,0.06,0.08
1145,103000.0,257500.0,103000.0,257500.0,2928.0,1956.0,1464.0,4884.0,0.04,0.08,0.06,0.02
1149,151020.0,377550.0,151020.0,377550.0,1116.0,3336.0,3336.0,5568.0,0.02,0.06,0.08,0.04
1169,80000.0,200000.0,80000.0,200000.0,1104.0,1476.0,1836.0,4416.0,0.06,0.02,0.04,0.08
1179,32000.0,80000.0,32000.0,80000.0,1104.0,3684.0,2208.0,1476.0,0.08,0.06,0.02,0.04
1188,20000.0,50000.0,20000.0,50000.0,2556.0,1704.0,1272.0,4248.0,0.06,0.08,0.04,0.02
1200,16000.0,40000.0,16000.0,40000.0,3336.0,2220.0,2784.0,3336.0,0.06,0.08,0.04,0.02
1209,-999.0,-999.0,-999.0,-999.0,1272.0,1704.0,2124.0,5100.0,0.04,0.02,0.08,0.06
1211,19000.0,47500.0,19000.0,47500.0,972.0,2928.0,2928.0,4884.0,0.04,0.08,0.02,0.06
1212,48000.0,120000.0,48000.0,120000.0,1464.0,5856.0,2436.0,1956.0,0.08,0.02,0.06,0.04
1227,80000.0,200000.0,80000.0,200000.0,1668.0,5568.0,3336.0,2220.0,0.06,0.04,0.02,0.08
1238,60000.0,150000.0,60000.0,150000.0,1836.0,2208.0,2208.0,1476.0,0.02,0.04,0.06,0.08
1248,30000.0,75000.0,30000.0,75000.0,1464.0,1956.0,2928.0,4884.0,0.08,0.06,0.04,0.02
1257,6000.0,15000.0,6000.0,15000.0,2436.0,1956.0,1464.0,5856.0,0.02,0.04,0.06,0.08
