respid,age,totinc,retinc,hlth,atr_w,atr_r
87,62,40798.6487070282,10000.0,1,0.1305388460662553,0.0
94,70,41822.964906988454,41822.964906988454,1,0.13620256004174236,0.13620256004174236
109,66,36452.64820874417,36452.64820874417,1,0.20126619991658462,0.20126619991658462
127,65,37934.28074752787,37934.28074752787,1,0.1237902695832682,0.1237902695832682
159,62,40857.083500934736,36254.33323791218,1,0.08165327293707898,0.06574430877119009
171,69,35958.30384787446,35958.30384787446,1,0.09689372888039252,0.09689372888039252
222,68,25182.78643203663,25182.78643203663,1,0.02991714831160721,0.02991714831160721
272,65,45987.612329201096,45987.612329201096,1,0.12655419224219866,0.12655419224219866
346,62,5699.975562795258,5699.975562795258,1,1.4290609868890716e-06,1.4290609868890716e-06
351,63,37712.950706849864,8924.891638696523,1,0.10565648838974713,0.08120377275019651
366,68,43483.23880330206,43483.23880330206,1,0.08334199886137045,0.08334199886137045
395,68,25100.0,25100.0,1,0.0,0.0
406,66,7257.11446786957,7257.11446786957,1,0.04054817984786277,0.04054817984786277
415,69,35097.59395555992,35097.59395555992,1,0.1433771398326427,0.1433771398326427
417,64,21942.642271891244,21942.642271891244,1,0.0032704678181374133,0.0032704678181374133
426,67,10000.0,10000.0,1,0.0,0.0
441,63,28057.764873224758,28057.764873224758,1,0.05006718497984546,0.05006718497984546
442,61,74079.4295449033,28531.03926696103,1,0.3039484127692417,0.012515987526278808
471,61,33998.236114476014,30455.886560837953,1,0.0724375627750483,0.03248034143501164
486,62,9999.682947878402,9999.682947878402,1,1.0568291512766377e-05,1.0568291512766377e-05
496,63,76661.29171566357,46898.44813347168,1,0.22077511335793068,0.12707721691801138
504,64,33434.47339961407,33434.47339961407,1,0.03219140201043279,0.03219140201043279
538,64,41418.43973507291,41418.43973507291,3,0.09206638594585671,0.09206638594585671
549,65,29628.562506362287,29628.562506362287,1,0.023767719253441028,0.023767719253441028
561,67,39612.74311142576,39612.74311142576,1,0.14894072245490175,0.14894072245490175
577,66,43963.203745568775,43963.203745568775,1,0.009236360609336684,0.009236360609336684
626,65,46712.0408534512,46712.0408534512,1,0.16299414365706658,0.16299414365706658
634,66,32381.16598410571,32381.16598410571,1,0.07786647258204146,0.07786647258204146
646,67,34255.307519714035,34255.307519714035,2,0.030138993990259044,0.030138993990259044
652,66,67035.96740879699,45864.82008226071,1,0.22395421056165807,0.15819183242820958
674,69,34049.519021727974,34049.519021727974,1,0.0890775111661439,0.0890775111661439
687,67,58408.436365040274,58408.436365040274,1,0.07451289215538524,0.07451289215538524
697,69,34213.151410807055,34213.151410807055,1,0.10083982103943587,0.10083982103943587
712,65,7928.278330240867,7928.278330240867,1,0.13947607418613162,0.13947607418613162
731,69,38878.74012561223,38878.74012561223,1,0.10597933826753021,0.10597933826753021
738,65,42950.02178048296,42950.02178048296,1,0.14219038973585388,0.14219038973585388
751,69,42348.591523644056,42348.591523644056,1,0.13898204019950333,0.13898204019950333
793,69,25629.172476847754,25629.172476847754,1,0.17128021914606004,0.17128021914606004
795,60,55272.86099100759,42911.430542746326,1,0.18237408803358268,0.15411255577296534
817,61,42979.03924724079,42979.03924724079,1,0.12329647174024475,0.12329647174024475
833,64,18500.0,18500.0,1,0.0,0.0
