respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,cons_0,cons_1,cons_2,cons_3,cons_4,cons_5,cons_6,cons_7,cons_8,cons_9,cons_10,cons_11,cons_12,cons_13,cons_14,cons_15,cons_16,cons_17,cons_18,cons_19,cons_20,cons_21,cons_22,cons_23,cons_24,cons_25,cons_26,cons_27,cons_28,cons_29,cons_30,cons_31,cons_32,cons_33,cons_34,cons_35,cons_36,cons_37,cons_38,cons_39,cons_40,cons_41,cons_42,cons_43,cons_44,own_0,own_1,own_2,own_3,own_4,own_5,own_6,own_7,own_8,own_9,own_10,own_11,own_12,own_13,own_14,own_15,own_16,own_17,own_18,own_19,own_20,own_21,own_22,own_23,own_24,own_25,own_26,own_27,own_28,own_29,own_30,own_31,own_32,own_33,own_34,own_35,own_36,own_37,own_38,own_39,own_40,own_41,own_42,own_43,own_44,wlth_0,wlth_1,wlth_2,wlth_3,wlth_4,wlth_5,wlth_6,wlth_7,wlth_8,wlth_9,wlth_10,wlth_11,wlth_12,wlth_13,wlth_14,wlth_15,wlth_16,wlth_17,wlth_18,wlth_19,wlth_20,wlth_21,wlth_22,wlth_23,wlth_24,wlth_25,wlth_26,wlth_27,wlth_28,wlth_29,wlth_30,wlth_31,wlth_32,wlth_33,wlth_34,wlth_35,wlth_36,wlth_37,wlth_38,wlth_39,wlth_40,wlth_41,wlth_42,wlth_43,wlth_44,seed
87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589280351817,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,78.60804994426873,72.16446086126727,67.33044602044933,64.48068308118746,63.919364442946915,63.35836587393167,68.77071703124051,58.37761963346503,48.56626212432342,40.62353985104315,34.193559386904305,34.015989528610305,26.360218959638612,20.877930761724066,18.200000000000003,18.200000000000003,18.200000000000003,80.10134314326277,52.89730877595109,39.5251040002364,42.88979817054095,54.5973678352503,31.1297386934842,36.640125932715044,55.32378348227846,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,553.863,534.1769181755086,474.19440388012157,418.4916527915928,365.10748328052836,311.75375393057044,258.4304473844498,199.1044865073023,149.67983957405588,109.66842997248523,77.27744697837569,51.055532035306264,24.74943693083108,5.911673517571845,-3.29,-3.29,-3.29,-3.29,523.8025878238728,454.54457805594507,401.0893677635049,178.6339469472162,371.3063062575081,328.0289202570647,104.28071043747529,,,,,,,,,,,,,,,,,,,,,
94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-1.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,96.26933312437446,89.86642566890215,83.91554043051714,79.00134249526242,74.9432334275406,71.59207634707754,68.82471509814923,66.53944821922043,71.41914112274048,111.33324937015733,86.29787653160649,81.00531044435576,73.04192361741543,67.67014709639302,63.91435866765413,60.515308168382,62.08508914325485,60.27934316722729,50.780675208500725,50.303930988727956,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,171.3005066040806,138.67933457868372,111.74100695327974,89.49553107986115,71.12537819894604,55.95543898126304,43.428213031647935,33.08332056103207,17.70572556009888,249.80725927064617,141.73988912896107,107.99481367261252,82.32358480530111,62.175719864216916,45.9610588459927,33.34587430681334,19.335127820779512,7.312271022505747,5.0559980024581375,,,,,,,,,,,,,,,,,,,,,,,,,,
109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70,129.61579259628797,129.61579259628797,3,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-1.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,188.0969827864127,189.12768021747704,178.48996175368248,147.24085370611706,80.71935629133951,85.6500350608593,100.48660619121918,18.200000000000003,18.200000000000003,139.24445251879624,169.2936659094684,133.1013422481967,152.9311888393298,126.28294493445438,127.66012404984632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,455.85157369704086,410.8177609575425,376.65269278584344,575.7744495475314,515.7584431754822,572.7133444896217,615.903437162553,659.7468701192067,661.5553144166031,570.3309474095893,390.9529136135487,542.2807008438125,336.74533208380126,256.82951194660654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.0,0.5607410302174016,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,53.28106215241566,131.801088456081,98.36943285267242,89.54149889802076,82.48694280255538,75.64219071533827,108.57402303051823,88.60945197085412,77.90195730835994,66.0166524329178,54.43789681490024,45.20641178920963,37.182519689132576,31.31035528304583,26.998746807567656,26.412792020281163,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2.9166763115321492,1291.958627773863,755.3339194013269,661.7609182978164,576.7055447872691,499.95331773545803,391.3265001957618,303.8511359638253,228.3111425080274,165.94054215334586,116.48933865555826,77.64654118421477,48.23170961939443,26.10146169839641,9.690435705820644,-4.912139024623579,135.49994248616224,122.21928498154134,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65,0.0,0.0,1,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.0523569845897126,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,63.07565878241876,61.75502317814295,48.02795998379509,45.86411118502972,47.244861580116265,112.70477204451427,137.1946608559155,112.69442405354776,120.28682262191847,102.03577841667256,86.96486431498514,58.107090453195255,68.54750415848072,47.079046650756936,61.34967277674019,75.66634512009163,67.32464947862887,60.24225934015446,44.07830675484498,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,65.0,48.86248602064815,27.364771439804024,18.27274575770346,11.274939539102048,2.812177031522325,962.3272750207374,560.4536140891753,962.9266961763758,472.9752010811708,363.5392198821705,270.1730383711863,206.8899739078575,401.3661072731478,356.21798231887317,303.25051737157116,227.77565981522233,127.26257941951408,32.68048982241396,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050082593205588,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,59.88193544508452,56.583212217879456,53.982735208784746,95.30868620029673,93.77076764270734,81.7381929240566,71.1501396786566,61.387286044123506,70.97100741764119,55.9747363151463,45.505707457943274,31.176651699540567,53.68220901364884,76.71026485927393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,42.672720072134496,30.826289416976294,21.487412391917395,597.5575676171355,311.97129604723716,247.69253198087733,194.58605372991326,151.88817073428956,100.12160467947486,63.98290925565048,39.01856202578039,27.657874814100243,232.17987920123701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077942,26.944901400077942,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998505759493,0.1112248550004543,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,75.22578012429233,67.40256945143044,60.13214942394446,53.861950805852366,48.69629506806387,44.44060863345029,40.93459353119194,38.04618948965223,41.826460269948036,37.04040739023398,33.57888114503648,33.813217535567944,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,226.64062557570836,185.69706660562565,151.68550699040742,123.66534068011795,100.58113845773643,81.56339294035453,65.8957670427944,52.98811187191534,36.132469476642925,23.94157856981594,15.124482334798422,5.982081299011589,250.56288987768394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1278.4983244321725,6,1,1,408.77373818632424,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67,37.73405492839256,37.73405492839256,1,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708707147384,1.3173860661475267,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,161.86296304422478,155.68884560146736,150.07367255889798,144.96684253981806,140.23885369381185,131.75273968691502,123.3201941020473,117.34041535987757,176.2796571901005,136.7572575597749,152.4868530617724,141.51066388706002,133.7015931859039,121.72598471323359,44.048439928952924,64.4920847796017,156.87949385081635,108.06809747538095,107.92590951842364,121.74991402536337,112.58910211669074,95.7192660750798,120.8768188268454,52.44794905441553,109.08749002409049,78.46455372275614,18.200000000000003,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,408.77373818632424,346.77192421904357,290.3831500165246,239.09926568145283,192.45812425413035,150.12373748634784,115.93528392870469,87.18984192970942,64.195379953371,765.547870191988,417.1805179858457,323.5437410845061,241.5061550388644,167.93043319539169,109.78783898928901,105.62662585800962,469.1350437381277,120.13006847511298,73.5604957033519,28.027396919730737,360.7024218025174,50.274550602893534,14.851210717951052,339.2550866868766,319.6856487014409,69.15970287259597,24.93506926109526,,,,,,,,,,,,,,,,,,,
346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63,0.4999992854521505,0.4999992854521505,1,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373879373,0.5391564617020568,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.2760000000000002,2.724,1.6320000000000001,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,80.02919217789176,70.75992428400116,84.44306004287891,99.52148108642089,50.34679801906279,30.065121763744155,30.065121763744155,30.065121763744155,30.065121763744155,30.065121763744155,30.065121763744155,30.065121763744155,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,368.5586308298802,171.25487734475567,196.36278578269886,56.06494604321804,-2.039797084930593,-2.039797084930593,-2.039797084930593,-2.039797084930593,-2.039797084930593,-2.039797084930593,-2.039797084930593,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,,,,,,,,,,,,,,,,,,,,,,,,,,
351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68,52.747812771073114,55.396971424673225,1,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112181381724,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684000000000001,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,174.25812087231355,201.73908411767974,171.71932073076874,126.97971372805578,202.11991983697789,174.94213837836796,151.56625450067276,131.94556047343593,136.30202866411184,117.90578753061897,157.5617152305554,180.0365350256424,137.54084789063967,171.33464077853338,70.9081388075979,44.44689083743109,38.28032458908178,56.90397977723258,101.76218614701088,100.11274501726852,30.943793411851434,79.61495989095398,140.02062898988268,233.9092970924275,235.92046644059806,246.65799297099196,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,460.0,391.19330299220456,255.88417714083968,1727.5216774608502,1145.1279951556844,949.9251786515131,782.7003262731729,641.0437129021863,520.0855727153971,395.728691074002,290.8364792843408,930.0201880643697,409.07265051025,287.95502341829376,964.3265069918606,852.7806429753158,766.8825082345629,255.4557090090225,815.6346124117742,361.45235919623235,227.22864903620737,163.23278456500077,657.8815111675763,308.7535152704192,1170.3841577369217,616.6732235357109,,,,,,,,,,,,,,,,,,,,
