respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,cons_0,cons_1,cons_2,cons_3,cons_4,cons_5,cons_6,cons_7,cons_8,cons_9,cons_10,cons_11,cons_12,cons_13,cons_14,cons_15,cons_16,cons_17,cons_18,cons_19,cons_20,cons_21,cons_22,cons_23,cons_24,cons_25,cons_26,cons_27,cons_28,cons_29,cons_30,cons_31,cons_32,cons_33,cons_34,cons_35,cons_36,cons_37,cons_38,cons_39,cons_40,cons_41,cons_42,cons_43,cons_44,own_0,own_1,own_2,own_3,own_4,own_5,own_6,own_7,own_8,own_9,own_10,own_11,own_12,own_13,own_14,own_15,own_16,own_17,own_18,own_19,own_20,own_21,own_22,own_23,own_24,own_25,own_26,own_27,own_28,own_29,own_30,own_31,own_32,own_33,own_34,own_35,own_36,own_37,own_38,own_39,own_40,own_41,own_42,own_43,own_44,wlth_0,wlth_1,wlth_2,wlth_3,wlth_4,wlth_5,wlth_6,wlth_7,wlth_8,wlth_9,wlth_10,wlth_11,wlth_12,wlth_13,wlth_14,wlth_15,wlth_16,wlth_17,wlth_18,wlth_19,wlth_20,wlth_21,wlth_22,wlth_23,wlth_24,wlth_25,wlth_26,wlth_27,wlth_28,wlth_29,wlth_30,wlth_31,wlth_32,wlth_33,wlth_34,wlth_35,wlth_36,wlth_37,wlth_38,wlth_39,wlth_40,wlth_41,wlth_42,wlth_43,wlth_44,home_0,home_1,home_2,home_3,home_4,home_5,home_6,home_7,home_8,home_9,home_10,home_11,home_12,home_13,home_14,home_15,home_16,home_17,home_18,home_19,home_20,home_21,home_22,home_23,home_24,home_25,home_26,home_27,home_28,home_29,home_30,home_31,home_32,home_33,home_34,home_35,home_36,home_37,home_38,home_39,home_40,home_41,home_42,home_43,home_44,seed
87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589280351817,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,124.77304823887658,138.28830916847605,127.60795049403772,109.98784400185615,75.6247766806795,33.386977759732716,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.863,487.54795393459966,360.3084067266854,242.57777887325307,141.4611300454385,74.03666389119223,45.86618359621587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,440.21192869058063,490.69261236134435,442.1378279854362,481.5955590709251,531.7441454702014,498.21575080237847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-1.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,125.66223537282237,105.26012745518233,90.14706799051591,79.64196711942643,72.33986230274292,72.9717970829926,65.14466854333313,113.73871922153938,18.252029149139926,109.55272763388139,94.85748218516991,71.07664185718102,58.99945609396201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,141.61220077694716,93.14424525626563,59.45412692181252,36.036096159092764,19.758202464582784,2.6784273882871488,-6.870256558999079,205.78261296032557,150.35887464959484,85.9382180588202,36.155502126331584,10.318022847970596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,300.0615578126256,304.1635265989474,257.26528710589037,311.226847490103,281.8661151904984,249.03812895367435,295.05862985954707,0.0,114.14999797197936,84.91222467171829,115.65066577351087,116.10150666263166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70,129.61579259628797,129.61579259628797,3,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-1.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,108.49326904069649,241.53280030635258,131.57091316428878,371.4084715457965,317.4726105613797,319.55337458547274,218.5786048332559,149.50497900261243,178.76901143846985,143.6933574779235,140.99136310463345,141.3407473613969,142.033786551868,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,220.12147006755976,457.72940715127515,29.91631348352189,114.56165256517932,18.200000000000003,18.200000000000003,18.200000000000003,88.08962345874009,238.12937401433382,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,500.0,536.2553180664218,470.28505580861327,484.1082367533583,288.7972981030318,146.5353144411422,1.2556523551267589,-44.30972748586363,-52.75930196558528,-57.76598475338592,-61.49472044245517,-61.69282019325345,-61.84252445825384,-62.31541858679615,110.90696369230005,209.98758975441712,282.38284731896556,353.2226240167722,163.50960929095194,-42.64359576417875,-42.64359576417875,-42.64359576417875,23.800226889969633,90.89077242972351,164.03720871592628,121.11386361389866,-0.9291772624761341,60.33203540973508,133.93725728889336,210.96535364024825,283.9357043736176,,,,,,,,,,,,,,,195.0,192.73527519618406,117.56630067946355,188.07278198240053,234.68054608538,290.1069061957114,66.68229517363855,118.23695023806374,113.19087270149544,43.708785231414936,170.84037575647235,236.4716384903116,165.78359218662357,92.78269086299696,0.0,0.0,0.0,0.0,161.51846553801815,0.0,83.88052899494332,10.468086609240288,0.0,0.0,0.0,73.60964070131192,1.570082212123225,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.0,0.5607410302174016,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,57.9929890435469,54.31672143126216,52.28900038045008,51.1705691089705,50.811989380504826,207.68582944933377,18.200000000000003,187.52645293705135,143.53258387601434,121.67415260793601,102.34181709342822,65.23472156892969,42.90698749504632,32.7928812139466,20.490372600707367,18.200000000000003,18.200000000000003,18.200000000000003,175.39291885415903,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-7.82090058702839,-12.134679242214526,-14.514032627271648,-15.826413948500601,-16.819140922690472,989.6129271124122,629.2013931638521,447.5023741257575,310.288051518964,195.5767343802989,100.9749100537632,44.57247095049677,10.216900009661227,-13.109389952494155,-17.440649963388132,-17.440649963388132,-17.440649963388132,-17.440649963388132,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1410.02621207834,1377.0825665213035,1232.9311898682145,1168.5017543473061,1262.6145726566401,0.0,336.9273705952355,373.30009741083995,354.8759665108005,337.32877486146697,379.50540701646923,304.7042552340997,230.7688303424079,275.1226806435284,203.40712810697926,248.30728860838332,235.857240850146,279.8886313799591,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65,0.0,0.0,1,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.0523569845897126,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,73.18778850329453,58.12305689568668,50.634887600994375,46.40108853827664,202.3273461071099,18.200000000000003,111.28362740311853,18.200000000000003,194.57505779185158,108.78425563220603,134.9110772920685,18.200000000000003,18.200000000000003,42.77794515663499,99.92447733400007,180.21331369109078,73.47046078731078,18.200000000000003,56.58820487495251,40.84283543298794,40.842835432987926,40.84283543298794,40.84283543298794,40.842835432987926,40.84283543298795,18.200000000000003,20.564689635175316,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,65.0,38.6487277065008,20.71683129848114,8.924865031866233,1.290736984719875,959.5572000522075,640.8044506842372,995.2734786325962,663.8919657983919,468.60968725685586,357.2396281885919,714.8047721240684,349.244861126878,376.75854671495216,309.0001393473958,222.63848651146196,44.59141973732194,-13.89042023775778,10.110602172512527,-13.89042023775778,-13.89042023775778,-13.890420237757777,-13.89042023775778,-13.89042023775778,-13.890420237757768,-13.89042023775778,0.0,,,,,,,,,,,,,,,,,,,1000.0,944.1249318504086,998.442578113267,902.2393581867287,1217.2589487031137,0.0,562.8801030674828,0.0,191.50628022947842,536.246985879421,567.922673327585,0.0,155.41932728849997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050082593205588,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,68.93981252229996,67.49365173500712,200.76580522424476,18.200000000000003,121.3786731538891,78.62939902924597,71.69615579585357,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,33.52380981686519,10.56533982776692,494.37769357798396,317.9101242338796,217.8207267833867,159.32518730189398,108.1744185040896,195.25698982043284,185.05012473240777,170.14219166669636,152.9966977725212,139.04397092347742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,674.1896946839471,695.8786490432044,0.0,292.68097564502096,289.22640549698485,215.44207987427075,135.41579440424925,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077942,26.944901400077942,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998505759493,0.1112248550004543,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,135.25245379217858,93.87697349850134,66.69120751996336,58.534388963463265,40.78352592484839,136.09358594775657,27.683171595615534,38.098072786674436,35.338776163931215,42.69472969846903,46.291310446616535,40.06920642451367,39.09852773536341,30.9155821649748,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,166.010673807953,97.71729746110154,56.196548740155635,22.497305502972633,6.388641418687064,166.62918870606143,154.63049400446576,131.91309447032023,111.84501154797121,83.89707818080142,51.86031896450449,25.802586606298064,0.5965796983870707,-8.864872560625644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,287.7673480106013,287.7850464777331,290.92157939820856,292.9226552488577,296.7921872228792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1278.4983244321725,6,1,1,408.77373818632424,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67,37.73405492839256,37.73405492839256,1,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708707147384,1.3173860661475267,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,219.65843631157614,196.74794359494248,177.4124352300444,147.86400226477087,129.05502098274007,117.08221087522737,109.46094847291396,104.53161368715618,101.29829903843842,99.17746041173001,99.14685005250682,245.82441377926506,18.200000000000003,223.93862249863042,186.44142528243194,165.56064913967947,137.45145242174786,99.03991829827928,82.87641604357329,75.63485990960578,70.68411780609782,70.72251540766374,316.14413565893955,18.200000000000003,18.200000000000003,188.41363298436139,75.73605966100232,305.3440272302452,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,408.77373818632424,288.3955967886468,189.94838195305758,110.04158961402239,59.177120314469846,26.799469286407483,6.189556305280317,-7.140671106712777,-15.884410664931973,-21.61972028111907,-25.38170062997434,-29.265350717681613,625.8317453877047,456.93646093706315,301.4567133755722,183.47013917538237,86.52546307722788,18.092246537532628,-11.518878069350224,-24.471537819979744,-29.411400040117844,-31.24756784802178,-32.26881104602209,413.45244715871326,442.14659528647644,197.53084569678103,31.212722484182258,-20.139084382560096,,,,,,,,,,,,,,,,,,750.0,753.2322011375181,756.4783317739607,803.9151099405284,814.2576907536993,708.7440593027018,832.9432705081459,772.9200375889046,776.2510149551783,779.5963475065619,699.6720746248277,874.0805127794008,0.0,243.37974538454256,360.21172454313336,484.50338525349576,399.4550751836342,306.0587179112657,436.3574544753328,214.72195539547312,347.79321656985456,360.77909548893257,764.8668846728494,0.0,0.0,435.67684548850616,174.1454121361071,489.8635340909582,,,,,,,,,,,,,,,,,,
346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63,0.4999992854521505,0.4999992854521505,1,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373879373,0.5391564617020568,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.2760000000000002,2.724,1.6320000000000001,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,113.0611128578491,18.200000000000003,162.1993757215348,23.70877284372174,22.044276879793504,20.43825176217184,21.12430083205866,22.69831031512706,23.784894124526662,24.963525789274918,27.54279886886459,27.559350577301917,28.969788378081372,28.763995711622293,30.369598827207987,30.065121763744163,30.065121763744155,30.065121763744163,30.065121763744163,30.065121763744163,30.065121763744145,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,180.0,335.1947338279783,184.54635419534807,108.76380296161315,75.34749715443843,43.05498226033916,11.834821375445138,7.156911628487303,5.567083087121999,4.469578928886983,3.279101818977312,0.6739066139820672,0.6571885581094244,-0.835424471354682,-0.6091453724042717,-2.039797084930593,-2.039797084930593,-2.039797084930593,-2.039797084930593,-2.039797084930593,-2.039797084930593,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,-0.16449976491375753,,,,,,,,,,,,,,,,,295.0,0.0,123.25407744451681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68,52.747812771073114,55.396971424673225,1,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112181381724,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684000000000001,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,222.54022654735647,191.4564804972989,200.52915559727873,125.75895356946178,88.1683316537039,257.4260435752589,48.8634606748323,348.1403370999671,41.89188987791572,457.327973880714,52.099464616670936,258.53052258620994,200.6864066114254,190.73605334331518,41.75135663794129,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,156.82753626428376,18.200000000000003,18.200000000000003,94.14102505952796,366.25826164877714,615.4819199496951,18.200000000000003,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,460.0,342.425954087952,217.0126537366735,81.17507176165284,19.493954442587416,-4.986013431347379,1302.9878310193628,878.348864724573,1465.1143563517774,985.3484818664318,1372.640872717826,888.6945158068511,638.2781613875193,446.14230065619375,264.40790672655424,201.03969897107064,890.8888802201068,810.0499490861463,749.1108019186254,656.3943340136708,605.4115713266544,362.4844006908662,185.789629787986,1223.3210891473834,1148.0578804361103,736.0836339228915,339.5558746965377,618.199679717623,,,,,,,,,,,,,,,,,,1500.0,1571.8494289923572,1248.576154993048,1188.2560205774219,1459.2552809278723,1628.471119477278,0.0,1039.6859927699088,0.0,956.4090796460375,0.0,224.2152484983194,505.3264935036116,528.9535405577213,551.394322528365,864.6930491519362,0.0,0.0,0.0,0.0,0.0,207.52838379739813,1219.5503719302405,0.0,0.0,308.93665074045725,1036.9329653982784,0.0,,,,,,,,,,,,,,,,,,
