respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,cons_0,cons_1,cons_2,cons_3,cons_4,cons_5,cons_6,cons_7,cons_8,cons_9,cons_10,cons_11,cons_12,cons_13,cons_14,cons_15,cons_16,cons_17,cons_18,cons_19,cons_20,cons_21,cons_22,cons_23,cons_24,cons_25,cons_26,cons_27,cons_28,cons_29,cons_30,cons_31,cons_32,cons_33,cons_34,cons_35,cons_36,cons_37,cons_38,cons_39,cons_40,cons_41,cons_42,cons_43,cons_44,own_0,own_1,own_2,own_3,own_4,own_5,own_6,own_7,own_8,own_9,own_10,own_11,own_12,own_13,own_14,own_15,own_16,own_17,own_18,own_19,own_20,own_21,own_22,own_23,own_24,own_25,own_26,own_27,own_28,own_29,own_30,own_31,own_32,own_33,own_34,own_35,own_36,own_37,own_38,own_39,own_40,own_41,own_42,own_43,own_44,wlth_0,wlth_1,wlth_2,wlth_3,wlth_4,wlth_5,wlth_6,wlth_7,wlth_8,wlth_9,wlth_10,wlth_11,wlth_12,wlth_13,wlth_14,wlth_15,wlth_16,wlth_17,wlth_18,wlth_19,wlth_20,wlth_21,wlth_22,wlth_23,wlth_24,wlth_25,wlth_26,wlth_27,wlth_28,wlth_29,wlth_30,wlth_31,wlth_32,wlth_33,wlth_34,wlth_35,wlth_36,wlth_37,wlth_38,wlth_39,wlth_40,wlth_41,wlth_42,wlth_43,wlth_44,home_0,home_1,home_2,home_3,home_4,home_5,home_6,home_7,home_8,home_9,home_10,home_11,home_12,home_13,home_14,home_15,home_16,home_17,home_18,home_19,home_20,home_21,home_22,home_23,home_24,home_25,home_26,home_27,home_28,home_29,home_30,home_31,home_32,home_33,home_34,home_35,home_36,home_37,home_38,home_39,home_40,home_41,home_42,home_43,home_44,seed
87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589280351817,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,106.89946270314032,138.4768711079013,108.7351598970077,103.11369279319831,82.47326542953029,53.840563087634635,36.12637728263395,30.416469406444,9.928275127632753,9.703488999802369,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.863,505.60117199136323,378.3526056229042,279.86579027915343,186.06712977307114,112.17364416399317,66.45798246261535,38.175087054876315,15.375237227046272,10.309666305829907,5.420230816451901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,457.69904231050157,440.36700244732367,504.85126986325685,444.7550173243939,447.92619305314537,404.7927644140412,506.7397155694581,515.4095167040821,403.7024569000723,533.1966512124715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-1.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,114.64088990075302,126.02459403789508,97.43445282073021,80.46553390389906,70.39408280406626,107.30227654445991,9.1,127.50635233255974,91.70187103990425,80.9345524036762,56.54665375315362,52.496359017865046,44.22610126060315,46.36431856475417,45.16032634569463,46.85274070563652,45.68492838303071,47.351132629272016,46.384143199762896,46.714055157099544,138.20045109174654,47.55272594412005,46.17118590252713,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,210.0,152.74431261250314,83.41508373448595,42.26656143578553,17.84394899989958,3.348556094567214,232.70042390423816,172.47755159024567,88.38115083751448,40.1130118216448,2.7251794119134094,-10.236582475245722,-19.04437836970087,-19.154164747312162,-19.21417173515832,-19.21417173515832,-19.21417173515832,-19.21417173515832,-19.21417173515832,-19.21417173515832,-19.21417173515832,-19.21417173515832,-19.21417173515832,,,,,,,,,,,,,,,,,,,,,,,320.0,300.0615578126256,287.7228876256445,316.17984532193714,289.11078410346425,305.98181993524804,0.0,72.54775023608073,44.920089990033176,44.505367308471875,104.33091174352523,13.02337709377943,106.21663111881713,43.20103849287062,75.12980293075495,42.62171511604768,75.09381658065482,42.03459874318821,107.84151862162994,74.54175511033172,107.38452413766622,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70,129.61579259628797,129.61579259628797,3,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-1.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,117.079533746805,193.50875253370393,145.70103144084052,189.80145203720224,413.87721226322594,360.8134012429432,265.5128729660637,203.32801618241183,187.88708594807187,175.79078118747668,174.08673724043774,174.49038697119101,141.56089242332567,63.086687280378946,10.980704108476393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,527.582759965388,510.03203452643885,509.98255092223866,497.1311253884251,259.5894474434055,73.77130146434335,-17.68435054689724,-47.65957535634704,-57.76598475338592,-62.31541858679615,-62.31541858679615,-62.31541858679615,-62.31541858679615,193.3017026522324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,245.56364791295104,226.85358538761722,188.07278198240053,185.6850041175412,183.2657425368539,123.75081081862592,118.23695023806374,175.86113612478897,43.708785231414936,170.84037575647235,100.1582647851971,235.20635323252694,233.71558171241253,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.0,0.5607410302174016,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,343.3880728145175,9.1,238.48240231528857,160.55262955235344,127.97844709779936,464.4383604933148,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1088.9256689815168,638.3391478963811,392.8952377550395,226.03987786203035,92.6629349164913,7.472375143375955,8.3114360679658,6.936636868358583,15.168033480259384,21.02304316591524,26.375875018808852,35.301086435671536,47.78615544993156,57.56369456975731,70.79054201780762,87.41967655692117,103.33497313665495,124.53711030358019,144.99366630150385,168.59811158261468,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,0.0,478.2465835882681,411.33274406844066,384.20140008346766,461.9022580387099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65,0.0,0.0,1,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.0523569845897126,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,94.64500165844863,64.03573635958784,44.64119698445509,40.540115902850665,281.128949785297,9.1,102.11476974726517,84.9349838713762,50.91661134265289,187.5417745799713,16.348878516077367,21.70332730511438,9.1,139.18037659115288,581.3740432827318,150.81966690449863,41.23745082605992,26.737835432987925,26.737835432987943,26.737835432987936,26.737835432987936,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,65.0,16.97586597397679,-7.363575748497262,-12.510283388939405,-13.598582777159324,866.1679451281155,497.3224926091358,356.9239720398957,234.36281517052873,146.75444096362443,393.57595298155815,386.32782634124635,367.1671569348851,180.0859726118562,53.1679563143396,181.05551027212894,11.042220289531562,-13.89042023775778,-13.890420237757771,-13.89042023775778,-13.89042023775778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1000.0,999.2209856249352,920.5265357525157,997.66477699224,1217.2589487031137,0.0,267.78998658772014,294.5158080901374,320.2026881976134,510.15365659185716,0.0,0.0,0.0,594.037343328717,814.3341722275082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050082593205588,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,75.87933256366067,62.21365371894811,58.52730687296292,174.77657681676203,9.1,149.3361691452485,103.96597370848406,61.547962753382855,40.595989047664915,27.6011356781788,31.80447996879865,26.75473854265385,22.508489244657763,48.77498559408657,9.1,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,26.514546439604874,8.81869506075274,-5.493978949998859,490.0384525890825,288.8933189530717,156.10527018418438,68.93268600454861,24.80967413156268,2.4462403328649063,-6.198543401509443,-15.450629144959452,-15.450629144959452,-15.450629144959452,177.1264443996125,195.62643161895235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,674.1896946839471,602.7834778654637,680.3311359837766,0.0,17.10374316518073,143.7756481979947,138.8595062706528,134.11007358597993,205.77252901900977,47.62753505828215,42.50976024676976,116.67025075887557,270.7912715351604,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077942,26.944901400077942,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998505759493,0.1112248550004543,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,161.22122637069577,96.07063271224997,73.907769409327,42.6075722570492,158.27622530487616,9.1,9.1,9.1,9.1,16.907219347890145,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,139.78091072605096,69.00821502227578,19.909845683861537,1.9327988934616618,136.14678003346873,142.7557044870049,149.2870128552317,155.88406939924556,162.47471938950946,161.1727151168558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,287.7673480106013,287.7850464777331,290.92157939820856,292.9226552488577,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1278.4983244321725,6,1,1,408.77373818632424,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67,37.73405492839256,37.73405492839256,1,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708707147384,1.3173860661475267,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,270.45389437068826,188.5764428456837,188.75840043993148,140.72319781535023,117.59142250923333,106.27805664379693,100.66408771538886,99.06483368935861,96.1591317809288,95.40149217114677,345.0956191508289,9.1,231.67060287430297,209.74215332925849,38.81856754616952,25.71129534351366,22.242865819886575,11.85470174787805,16.3363135846019,36.078475442591646,27.98754394243478,27.720022537349987,535.8038697587605,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,408.77373818632424,237.08963588892374,146.38041327099583,54.575761511210516,10.366422099015654,-11.255629162530033,-21.985019990560346,-27.309206218226876,-31.18615578682615,-32.19704081593963,-32.460621376894714,592.0601572457363,335.9546204718836,159.61083371212163,5.272810964293922,-14.962814709596907,-20.139084382560096,-20.139084382560096,-13.428785232213881,-7.968186015882113,-18.686454465653423,-20.13908438256006,-20.139084382560096,,,,,,,,,,,,,,,,,,,,,,,750.0,727.9594459435527,720.5731279030003,715.5617939393063,763.012621924686,823.8577452520719,769.6033538080829,772.9200375889046,702.4390570503904,700.947392687006,949.5241420748932,0.0,256.6021572221805,191.56469637911016,217.7216220583265,243.03374832517693,267.53362888864444,179.12390228622655,314.22077488092015,336.46719238599843,358.01975599120425,378.9053271468899,660.1763255237408,,,,,,,,,,,,,,,,,,,,,,,
346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63,0.4999992854521505,0.4999992854521505,1,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373879373,0.5391564617020568,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.2760000000000002,2.724,1.6320000000000001,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,140.89066442379985,9.1,179.21046040679943,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,10.79113608629921,10.805393940807928,9.1,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,180.0,307.0854906189123,165.34606491588735,62.27957698556992,43.85373229982814,24.928775202281063,5.503176854529987,5.05530108625626,5.0553010862562635,5.055301086256262,5.0553010862562635,0.0,0.0,-1.953191199424078e-15,0.0,1.7942095224373275e-15,1.7942095224373275e-15,-1.953191199424078e-15,1.7942095224373275e-15,1.7942095224373275e-15,1.7942095224373275e-15,-5.8595735982722345e-15,-1.953191199424078e-15,1.7942095224373275e-15,1.7942095224373275e-15,1.7942095224373275e-15,-1.953191199424078e-15,1.7942095224373275e-15,-1.859486814543035,-1.8751640227094417,,,,,,,,,,,,,,,,295.0,0.0,111.19857051112004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68,52.747812771073114,55.396971424673225,1,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112181381724,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684000000000001,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,221.472972663301,234.03094331262034,176.1859665589004,111.99500960083456,84.4281447536632,72.4998235076228,67.22118783895027,65.53655375780109,63.61319312385879,30.950464861833463,50.06557006023893,9.1,231.83789897862988,164.8869414855002,183.136499009849,9.1,141.4889256662877,259.6931949055584,9.1,269.7575210905647,31.320573041501024,9.1,9.1,9.1,327.41530209508863,9.1,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,460.0,343.5039340518635,175.0991242992016,63.42814650582271,15.470943527954807,-5.280379712934924,-14.463455249894944,-18.527238331994983,-21.00348224559356,-21.578929119930706,-21.65667825874431,1508.1142473043394,979.2774347398,689.7262527512702,467.67839926790197,784.184138610978,405.20528777250604,227.40189524645115,800.8644870156842,554.3209219642878,264.75876475181497,662.3405921697005,601.7769583764599,517.1687178031641,179.64266260019392,1044.592604243295,,,,,,,,,,,,,,,,,,,,1500.0,1489.7083865649765,1364.0317698305323,1469.3365098380186,1459.2552809278723,1449.2432200916546,1439.29985276198,1219.9407190028974,1419.617316610589,940.5940942472957,1646.028272682441,0.0,310.60597436918374,616.7761383763698,654.9444856616419,0.0,354.2712437691591,977.9247017838317,0.0,542.2941825037839,544.0675359689708,0.0,0.0,0.0,1362.2512643406149,0.0,,,,,,,,,,,,,,,,,,,,
