,respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,d_value_1,d_value_2,d_value_3,d_value_4,d_value_5,d_value_6,d_value_7,d_value_8,d_value_9,d_value_10,d_value_11,d_value_12,sigma_ann,sigma_ltc,sigma_rmr,ann,ltc,rmr,delta_ann,delta_ltc,delta_rmr
0,87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589310103857,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,134.64967418546598,140.5614643821754,124.57496604172523,134.1944618125136,156.20452230277962,134.93978186622124,129.0764674258127,134.0569832022476,127.28310917336334,115.3938054274721,92.60337052384972,84.64736741754871,81.5429384594401,5.911790196709404,-10.07470814374075,-0.4552123729523885,21.55484811731364,0.2901076807552556,-5.573206759653289,-0.5926909832183753,-7.36656501210264,-19.25586875799388,-42.046303661616264,-50.002306767917275,-53.10673572602589,0.011821560943972347,0.10252754560068814,0.014000337103074195,,,,3.496394498008941,0.6283737117938484,4.019666742055659
1,94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-3.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,191.84579916568453,191.90192092763823,199.7761530710958,196.748434540555,187.9138973306484,189.5209604619328,180.71218208990592,187.39531922529304,189.1112610846226,184.8643475904913,190.7612831377666,183.3712571909142,190.59537402996105,0.05612176195370466,7.930353905411266,4.902635374870471,-3.931901835036115,-2.3248387037517375,-11.133617075778602,-4.450479940391489,-2.7345380810619133,-6.981451575193233,-1.084516027917914,-8.474541974770318,-1.250425135723475,0.005006367467791982,0.10252754560068814,0.014000337103074195,,,,2.207404418234536,-0.8666128546089967,3.658723188925656
2,109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70.0,129.61579259628795,129.61579259628795,3.0,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-3.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,152.98413100494346,152.34003957688685,162.61055818838483,158.5134690251633,155.27903515694013,150.91972447101023,149.73748860921478,153.054267301179,151.89990887670297,152.98413100494346,152.98413100494346,152.98413100494346,152.98413100494346,-0.6440914280566119,9.626427183441365,5.529338020219825,2.2949041519966613,-2.064406533933237,-3.246642395728685,0.07013629623554607,-1.0842221282404978,0.0,0.0,0.0,0.0,0.005006367467791982,0.15939016700173725,0.026014756361051543,,,,4.616154826380003,4.343078778641946,4.59511985013459
3,127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.9780075482694293,0.5607410535334644,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,236.5397839384776,235.71368834334845,236.49635397249477,238.16302144847205,242.61249012316276,230.9032081322995,232.90986959326915,233.48729893091152,222.52845162048723,189.5422306070085,222.17089313529425,190.6492247454964,221.28267096863067,-0.8260955951291464,-0.043429965982824115,1.6232375099944534,6.07270618468516,-5.636575806178087,-3.629914345208448,-3.0524850075660765,-14.011332317990366,-46.997553331469106,-14.368890803183348,-45.890559192981186,-15.25711296984693,0.005006367467791982,0.15939016700173725,0.026014756361051543,,,,4.603663739550949,2.9464480054457396,3.798326128567467
4,159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.052356990966113,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,81.99762607822798,82.06226959759842,79.01314601478636,82.19670067852354,78.61557716833288,82.72312000053628,81.39084335722178,81.80832442390734,83.23676285752373,47.200740758736494,47.61143415245092,62.49629529608569,38.37450521273431,0.06464351937043489,-2.984480063441623,0.19907460029556034,-3.3820489098951043,0.7254939223083028,-0.6067827210061978,-0.18930165432064427,1.2391367792957482,-34.79688531949149,-34.38619192577706,-19.50133078214229,-43.62312086549367,0.005006367467791982,0.10252754560068814,0.014000337103074195,,,,4.5874816217046135,0.3765256369684486,-0.4054565867908899
5,171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050083058072266,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,204.58489603193703,204.64239330328127,201.813300113123,207.07341662657552,207.96048418752517,204.76375308862148,197.50920647483812,205.85191803059536,199.7286368309756,149.5500260652422,156.1524571865994,141.98716000962122,151.1843824227838,0.057497271344232104,-2.771595918814029,2.488520594638487,3.375588155588133,0.17885705668444984,-7.075689557098912,1.267021998658322,-4.856259200961432,-55.03486996669483,-48.43243884533763,-62.597736022315814,-53.40051360915322,0.005006367467791982,0.10252754560068814,0.014000337103074195,,,,4.5990623771600045,4.326342102730247,3.826971899953727
6,222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077946,26.944901400077946,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998729473916,0.1112248403294,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,128.38427408636855,130.16246111078064,116.57000666794704,132.5941400713591,122.60311859793222,124.88796265426242,122.4086973690702,129.26490720050924,126.7858876473089,117.68659540565974,116.95979264754835,105.58428051750153,104.23716243004164,1.778187024412091,-11.814267418421508,4.209865984990557,-5.781155488436326,-3.4963114321061255,-5.9755767172983525,0.8806331141406929,-1.5983864390596523,-10.697678680708805,-11.424481438820195,-22.799993568867023,-24.147111656326913,0.005006367467791982,0.10252754560068814,0.014000337103074195,,,,4.580592160374278,4.33394011740625,4.35337160056264
7,272,1278.4983244321725,6,1,1,408.7737381863242,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67.0,37.73405492839256,37.73405492839256,1.0,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708705381105,1.317386069860402,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,72.41415148281375,72.68238797938382,75.84103371554608,72.11800032265457,77.19313068858324,72.25078493248925,70.40900718534392,71.63168111829634,71.65682551786588,65.55762648542488,63.41199659755949,68.38825661783034,63.45169244048957,0.26823649657006854,3.426882232732325,-0.29615116015918375,4.778979205769488,-0.16336655032449698,-2.005144297469826,-0.7824703645174083,-0.7573259649478672,-6.856524997388874,-9.002154885254264,-4.025894864983414,-8.962459042324177,0.005006367467791982,0.10252754560068814,0.014000337103074195,,,,4.605355301806404,0.2994954339280383,4.494152800763819
8,346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63.0,0.4999992854521505,0.4999992854521505,1.0,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373832422,0.5391564617302692,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.276,2.724,1.632,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,8.538273676319456,9.48401090454984,7.366266339423607,8.432045519392856,9.81043025356506,9.73464174237272,9.254433285077672,10.344761235325562,10.477051908766631,8.538273676319456,7.890365906524256,8.538273676319456,8.898387215021355,0.9457372282303851,-1.1720073368958488,-0.10622815692659948,1.272156577245605,1.1963680660532638,0.7161596087582165,1.806487559006106,1.9387782324471754,0.0,-0.6479077697952,0.0,0.3601135387018992,0.005006367467791982,0.10252754560068814,0.014000337103074195,,,,4.596295918835166,4.740139769537524,4.594112546071683
9,351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68.0,52.74781277107312,55.396971424673225,1.0,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112025019111,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,100.29855228124924,99.90769956099324,101.31106463938757,103.27642218556466,105.41147736800984,99.78385568903674,100.46596693608647,100.23769772935847,98.58671782868107,71.4493971551591,63.571969113672914,79.19048360297445,62.163761349936976,-0.3908527202560066,1.0125123581383235,2.977869904315412,5.1129250867605975,-0.514696592212502,0.16741465483723061,-0.06085455189077038,-1.7118344525681692,-28.84915512609014,-36.72658316757633,-21.10806867827479,-38.13479093131227,0.005006367467791982,0.10252754560068814,0.026014756361051543,,,,0.6583510075068765,0.9396813060793313,3.7833384966892902
