,respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,d_value_1,d_value_2,d_value_3,d_value_4,d_value_5,d_value_6,d_value_7,d_value_8,d_value_9,d_value_10,d_value_11,d_value_12,sigma_ann,sigma_ltc,sigma_rmr,ann,ltc,rmr,delta_ann,delta_ltc,delta_rmr
0,87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589280351817,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,49.082392768687136,47.27515232282385,40.41227844810858,46.18380800613177,50.16655046667363,49.28086516258669,48.77636998454344,49.1558252066356,47.69800239636904,48.133835107182186,48.06399680751636,46.319617476026615,46.99065268553114,-1.807240445863286,-8.670114320578556,-2.898584762555366,1.084157697986491,0.19847239389955718,-0.30602278414369266,0.07343243794846188,-1.3843903723180944,-0.9485576615049496,-1.018395961170775,-2.762775292660521,-2.0917400831559974,0.017451516307580097,0.23318300853720694,0.027329355857693857,,,,3.392712329832667,0.8851072430348448,4.548513261701585
1,94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-1.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,52.76026728186199,52.21133320365853,53.34430732161125,53.39365251801741,50.38780720691335,52.35001478051512,50.34145616964145,51.837496852514285,52.44087441175536,53.49552790139584,54.21773554396181,52.28619535804808,53.988292297925184,-0.5489340782034589,0.5840400397492544,0.6333852361554193,-2.3724600749486413,-0.41025250134687496,-2.4188111122205456,-0.9227704293477075,-0.31939287010663264,0.7352606195338467,1.457468262099816,-0.4740719238139093,1.2280250160631923,0.02010948922603606,0.23318300853720694,0.027329355857693857,,,,2.1876271620956267,-0.5748169142412689,3.7411256898338947
2,109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70.0,129.61579259628795,129.61579259628795,3.0,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-1.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,90.9625916675966,89.1292191116607,92.91142832023353,92.67754410353066,88.52037683709497,92.31196540497191,94.17770816339323,93.4013043427488,95.29069110479615,90.31123005324936,90.14277426797229,89.45663860966653,89.66389861976141,-1.8333725559358953,1.9488366526369276,1.714952435934066,-2.4422148305016265,1.3493737373753163,3.215116495796636,2.4387126751522032,4.328099437199555,-0.6513616143472376,-0.8198173996243128,-1.5059530579300713,-1.2986930478351866,0.02010948922603606,0.2446441326146262,0.04417307208978204,,,,4.592044112314726,5.2881540085632714,4.547900767320231
3,127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.0,0.5607410302174016,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,83.7235964310257,82.6566620058663,82.3153260552541,83.44521385338683,84.23652492952148,81.92698406544372,82.82599762752749,82.88376747575984,79.134026356507,81.37484076731155,96.42166961521067,82.18548038765475,95.6792117453666,-1.0669344251594026,-1.4082703757715933,-0.2783825776388653,0.512928498495782,-1.7966123655819786,-0.8975988034982123,-0.8398289552658582,-4.589570074518704,-2.348755663714144,12.698073184184977,-1.5381160433709482,11.955615314340903,0.02010948922603606,0.2446441326146262,0.04417307208978204,,,,4.583855223732572,3.498797639234848,4.8244533739354925
4,159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.0523569845897126,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,96.05695695814364,95.54676220053246,94.25890420777186,95.66116811008472,93.92349066304168,97.61828920131109,97.3114362435977,96.43543503184485,100.07678830266411,83.71587809744341,88.07976048693062,89.09230412957002,82.80404743320324,-0.5101947576111883,-1.798052750371781,-0.39578884805892756,-2.133466295101968,1.561332243167442,1.2544792854540532,0.3784780737012028,4.019831344520469,-12.341078860700236,-7.97719647121302,-6.96465282857362,-13.252909524940407,0.02010948922603606,0.23318300853720694,0.027329355857693857,,,,4.570799923273565,0.7671261968640162,-0.21932366862073177
5,171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050082593205588,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,49.16856722277194,48.73954638925061,47.98212532997929,49.36574620456125,49.5701665978248,50.76526085028115,50.8657811146653,51.03084148968635,51.37271791131504,45.38603953938095,49.09832762011804,44.27026900792096,48.40561770648027,-0.4290208335213279,-1.1864418927926508,0.19717898178930682,0.4015993750528608,1.596693627509211,1.6972138918933624,1.8622742669144117,2.204150688543102,-3.782527683390988,-0.07023960265389917,-4.898298214850982,-0.7629495162916697,0.02010948922603606,0.23318300853720694,0.027329355857693857,,,,4.590008599291046,5.024195967715085,4.530116874624549
6,222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077946,26.944901400077946,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998505759493,0.1112248550004543,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,23.003557280294554,21.786427301195275,18.73985319164416,21.99750991213212,19.30748610801885,22.888474904825767,22.97739653491488,23.209576257463947,23.301024922065174,22.88248778615081,23.861615465486604,22.49580147056556,23.19640941425344,-1.2171299790992798,-4.263704088650396,-1.0060473681624345,-3.6960711722757047,-0.11508237546878775,-0.0261607453796735,0.20601897716939277,0.2974676417706199,-0.12106949414374313,0.8580581851920499,-0.5077558097289945,0.1928521339588869,0.02010948922603606,0.23318300853720694,0.027329355857693857,,,,4.543926356193692,4.616237107311597,4.598003678030774
7,272,1278.4983244321725,6,1,1,408.7737381863242,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67.0,37.73405492839256,37.73405492839256,1.0,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708707147384,1.3173860661475267,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,201.89421106795692,200.3808703161706,206.39304820195755,198.6242544504344,210.7703543645412,202.0802950014165,197.14524193373447,200.21441701928904,200.89290129783265,195.44712026408916,200.8130767444133,198.3094958443588,200.91229170470675,-1.5133407517863304,4.498837134000638,-3.2699566175225243,8.876143296584274,0.18608393345957097,-4.748969134222449,-1.6797940486678726,-1.0013097701242657,-6.447090803867752,-1.0811343235436084,-3.584715223598124,-0.9819193632501708,0.02010948922603606,0.23318300853720694,0.027329355857693857,,,,4.638313439623151,-0.02774744611508373,4.512483668839618
8,346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63.0,0.4999992854521505,0.4999992854521505,1.0,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373879373,0.5391564617020568,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.276,2.724,1.632,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,32.61541516315398,33.281692460484784,30.651576814751248,33.24928004614444,31.52418648530909,32.150997486603444,31.87196664336926,32.38338678125973,32.41087437635365,32.682483481933104,33.648806479443955,32.854713591623806,33.97071508630777,0.6662772973308009,-1.963838348402735,0.6338648829904585,-1.0912286778448923,-0.4644176765505392,-0.7434485197847245,-0.2320283818942528,-0.2045407868003366,0.06706831877912123,1.033391316289972,0.23929842846982297,1.3552999231537868,0.02010948922603606,0.23318300853720694,0.027329355857693857,,,,4.586297189564175,4.49925625369393,4.613533399828451
9,351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68.0,52.74781277107312,55.396971424673225,1.0,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112181381724,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,185.89006483210628,182.17713418928307,180.2623725502669,188.71163758335533,189.17487642143504,185.13452018407213,186.851416918314,186.06552970145333,183.23827790005475,158.83065558839732,157.35948489446218,164.72713106305477,156.8985018364969,-3.71293064282321,-5.627692281839387,2.8215727512490503,3.2848115893287684,-0.7555446480341459,0.961352086207711,0.17546486934705285,-2.6517869320515217,-27.059409243708956,-28.53057993764409,-21.162933769051506,-28.99156299560937,0.02010948922603606,0.23318300853720694,0.04417307208978204,,,,0.631186848661848,0.8616588026631308,3.4273551499370356
