,respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,d_value_1,d_value_2,d_value_3,d_value_4,d_value_5,d_value_6,d_value_7,d_value_8,d_value_9,d_value_10,d_value_11,d_value_12,sigma_ann,sigma_ltc,sigma_rmr,ann,ltc,rmr,delta_ann,delta_ltc,delta_rmr
0,87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589310103857,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,236.16101336011167,232.16644967088783,214.32931392197375,229.4305833276235,238.17725896672883,236.0208199437352,233.78844428488404,235.65835646172985,232.47224429279328,233.2242565492898,232.7822979381439,229.39265956719493,230.9746968686088,-3.9945636892238383,-21.831699438137917,-6.730430032488158,2.0162456066171615,-0.1401934163764622,-2.3725690752276307,-0.5026568983818152,-3.6887690673183897,-2.936756810821862,-3.378715421967769,-6.768353792916741,-5.186316491502879,0.013734419124638938,0.14075765265250978,0.021760532304352032,,,,3.341476060863404,0.7318837951794217,4.495727843521878
1,94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-3.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,240.11338803087656,239.6222861216112,244.09223618538272,242.72520076644497,236.34256532434205,238.6389317686377,233.0928318840742,237.2840728438215,238.6278810431021,241.82764680643865,246.27262692367265,241.4895878655313,246.21685399565027,-0.49110190926535324,3.978848154506153,2.6118127355684067,-3.770822706534517,-1.4744562622388742,-7.020556146802363,-2.829315187055073,-1.485506987774471,1.7142587755620866,6.159238892796083,1.3761998346547273,6.103465964773704,0.01336565037776903,0.14075765265250978,0.021760532304352032,,,,2.2039749167562497,-0.7882522409604016,3.8045162121716616
2,109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70.0,129.61579259628795,129.61579259628795,3.0,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-3.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,324.44000522269744,321.24430690893536,328.6161386558696,327.5090770799891,320.3480818263112,324.94939782610305,327.6460113174736,327.16027137070193,329.7865524961015,324.44000522269744,324.44000522269744,324.44000522269744,324.44000522269744,-3.1956983137620796,4.17613343317214,3.0690718572916467,-4.091923396386221,0.5093926034056153,3.2060060947761713,2.720266148004498,5.346547273404042,0.0,0.0,0.0,0.0,0.01336565037776903,0.14821041202518132,0.03359597466591407,,,,4.594978119375645,5.031681478337732,4.59511985013459
3,127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.9780075482694293,0.5607410535334644,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,293.19456042260674,292.04357490950804,291.5377878601055,293.44404836089234,295.28418127280105,290.2414215586289,291.5683259170691,291.56908927152256,286.9899669717085,283.92756690176014,307.93601945350406,284.09595288234414,307.64854798209245,-1.1509855130987034,-1.65677256250126,0.249487938285597,2.089620850194308,-2.9531388639778697,-1.6262345055376386,-1.6254711510841844,-6.204593450898244,-9.266993520846597,14.741459030897317,-9.098607540262606,14.45398755948571,0.01336565037776903,0.14821041202518132,0.03359597466591407,,,,4.59355389950423,3.535844053245838,4.686079654143901
4,159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.052356990966113,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,322.81359956218006,321.7387641391812,319.10387625622286,321.9518218482193,318.5598498445977,324.9274652606068,324.16859588753044,322.96065757730946,328.65372295560417,300.48911046793523,305.47228513575425,308.0242642899689,299.1129021135408,-1.0748354229988308,-3.7097233059571977,-0.8617777139607483,-4.253749717582366,2.113865698426764,1.3549963253503847,0.14705801512940297,5.840123393424108,-22.324489094244825,-17.34131442642581,-14.789335272211133,-23.700697448639232,0.01336565037776903,0.14075765265250978,0.021760532304352032,,,,4.562039577551834,0.6793262095087341,-0.3675472351738582
5,171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050083058072266,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,241.7313399228736,241.1030753832751,239.26770874196043,242.71896100317883,243.45577156324964,243.39679872768644,242.7331305863312,244.09561246838717,243.7902376564097,231.7532148452705,241.281157554117,228.9601256800468,239.99854384633744,-0.62826453959849,-2.463631180913154,0.9876210803052459,1.7244316403760536,1.6654588048128574,1.0017906634576264,2.364272545513586,2.0588977335360994,-9.978125077603096,-0.4501823687566002,-12.771214242826801,-1.7327960765361468,0.01336565037776903,0.14075765265250978,0.021760532304352032,,,,4.5938506379510455,4.844627560123037,4.459484723593746
6,222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077946,26.944901400077946,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998729473916,0.1112248403294,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,142.03199115763073,138.57406632083698,129.98211152432845,139.12253777112377,131.57445905557523,141.02052291290656,140.66198181101845,142.00851389258372,141.63225526904392,141.56538443622563,143.745730544549,140.7827791528488,142.28801874507337,-3.457924836793751,-12.049879633302282,-2.9094533865069536,-10.457532102055495,-1.0114682447241705,-1.370009346612278,-0.023477265047006313,-0.39973588858680387,-0.46660672140509973,1.713739386918263,-1.2492120047819242,0.2560275874426452,0.01336565037776903,0.14075765265250978,0.021760532304352032,,,,4.498637263304854,4.496424428715032,4.596501362399096
7,272,1278.4983244321725,6,1,1,408.7737381863242,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67.0,37.73405492839256,37.73405492839256,1.0,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708705381105,1.317386069860402,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,530.5749520970141,529.0749752905784,539.0050457773598,526.4339480336074,545.359052119167,530.8390103319196,523.548794286267,528.0927564523296,529.0942613898304,518.4606366659323,524.512085906853,522.9715560234167,524.645813076796,-1.4999768064357113,8.430093680345635,-4.14100406340674,14.78410002215287,0.2640582349054057,-7.026157810747122,-2.482195644684566,-1.4806907071837259,-12.114315431081877,-6.062866190161117,-7.603396073597423,-5.929139020218145,0.01336565037776903,0.14075765265250978,0.021760532304352032,,,,4.653839204818441,0.017140381253583747,4.422614771399619
8,346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63.0,0.4999992854521505,0.4999992854521505,1.0,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373832422,0.5391564617302692,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.276,2.724,1.632,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,220.3455865660664,217.2873453949488,210.8412722376986,216.81227399110008,211.96800147190976,219.5134572164065,219.02153364698032,219.9462805870663,219.88786438737503,220.3455865660664,225.331759777462,220.3455865660664,225.52966497534112,-3.0582411711176007,-9.504314328367798,-3.533312574966317,-8.377585094156643,-0.8321293496599083,-1.3240529190860855,-0.3993059790001041,-0.45772217869136966,0.0,4.986173211395595,0.0,5.1840784092747185,0.01336565037776903,0.14075765265250978,0.021760532304352032,,,,4.5133439454875095,4.489086743491239,4.650447372368336
9,351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68.0,52.74781277107312,55.396971424673225,1.0,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112025019111,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,525.0845924375204,519.7396075692808,516.8302954092389,529.6041387473988,530.3556446083165,523.5710322184491,525.9189710243486,524.9897170136983,520.4571542897868,480.5530290842202,468.2475841143789,489.71431491722416,462.5058236011193,-5.344984868239635,-8.254297028281485,4.519546309878365,5.271052170796111,-1.513560219071337,0.8343785868281657,-0.09487542382214542,-4.627438147733642,-44.531563353300214,-56.837008323141504,-35.37027752029627,-62.57876883640114,0.01336565037776903,0.14075765265250978,0.03359597466591407,,,,0.6347201874181655,0.8039447140069587,2.92105243865667
